"num_samples","replay_buffer_size: 20000 (Replay size: partner OBL5) - _step","replay_buffer_size: 20000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 20000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 20000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 20000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 20000 (Replay size: partner OBL5) - perfect__MAX","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 50000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 50000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - perfect__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 100000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - perfect__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - perfect","replay_buffer_size: 150000 (Replay size: partner OBL5) - perfect__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - perfect__MAX"
"54325","4","4","4","0","0","0","","","","","","","","","","","","","","","","","",""
"56197","","","","","","","","","","","","","5","5","5","0","0","0","","","","","",""
"56713","4","4","4","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"56959","","","","","","","5","5","5","0.1","0.1","0.1","","","","","","","","","","","",""
"57180","","","","","","","","","","","","","","","","","","","5","5","5","0","0","0"
"57238","","","","","","","","","","","","","","","","","","","5","5","5","0.1","0.1","0.1"
"57719","","","","","","","","","","","","","5","5","5","0.1","0.1","0.1","","","","","",""
"57768","","","","","","","","","","","","","5","5","5","0","0","0","","","","","",""
"58039","","","","","","","","","","","","","5","5","5","0","0","0","","","","","",""
"58120","","","","","","","","","","","","","5","5","5","0","0","0","","","","","",""
"58341","","","","","","","5","5","5","0","0","0","","","","","","","","","","","",""
"58343","","","","","","","","","","","","","5","5","5","0","0","0","","","","","",""
"58522","","","","","","","","","","","","","5","5","5","0","0","0","","","","","",""
"58567","","","","","","","5","5","5","0","0","0","","","","","","","","","","","",""
"58829","","","","","","","","","","","","","","","","","","","5","5","5","0.1","0.1","0.1"
"58987","","","","","","","","","","","","","5","5","5","0","0","0","","","","","",""
"60969","5","5","5","0","0","0","","","","","","","","","","","","","","","","","",""
"65666","","","","","","","","","","","","","6","6","6","0","0","0","","","","","",""
"66872","","","","","","","","","","","","","","","","","","","6","6","6","0.1","0.1","0.1"
"67246","","","","","","","","","","","","","","","","","","","6","6","6","0","0","0"
"67249","5","5","5","0","0","0","","","","","","","","","","","","","","","","","",""
"67538","","","","","","","","","","","","","6","6","6","0","0","0","","","","","",""
"67703","","","","","","","","","","","","","6","6","6","0","0","0","","","","","",""
"68106","","","","","","","","","","","","","6","6","6","0.1","0.1","0.1","","","","","",""
"68121","","","","","","","","","","","","","6","6","6","0.1","0.1","0.1","","","","","",""
"68211","","","","","","","","","","","","","6","6","6","0","0","0","","","","","",""
"68228","","","","","","","6","6","6","0","0","0","","","","","","","","","","","",""
"68573","","","","","","","","","","","","","6","6","6","0.2","0.2","0.2","","","","","",""
"68760","","","","","","","","","","","","","","","","","","","6","6","6","0","0","0"
"68782","","","","","","","","","","","","","6","6","6","0.1","0.1","0.1","","","","","",""
"69748","5","5","5","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
"70175","","","","","","","6","6","6","0.1","0.1","0.1","","","","","","","","","","","",""
"70960","","","","","","","6","6","6","0.1","0.1","0.1","","","","","","","","","","","",""
"71276","6","6","6","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"75806","","","","","","","","","","","","","7","7","7","0","0","0","","","","","",""
"76798","","","","","","","","","","","","","","","","","","","7","7","7","0","0","0"
"77471","","","","","","","","","","","","","7","7","7","0.4","0.4","0.4","","","","","",""
"77500","","","","","","","","","","","","","","","","","","","7","7","7","0.1","0.1","0.1"
"77772","","","","","","","","","","","","","7","7","7","0.3","0.3","0.3","","","","","",""
"78164","","","","","","","","","","","","","7","7","7","0","0","0","","","","","",""
"78209","","","","","","","","","","","","","7","7","7","0.3","0.3","0.3","","","","","",""
"78333","","","","","","","","","","","","","7","7","7","0.2","0.2","0.2","","","","","",""
"78416","","","","","","","","","","","","","7","7","7","0","0","0","","","","","",""
"78719","","","","","","","","","","","","","7","7","7","0.4","0.4","0.4","","","","","",""
"78842","","","","","","","","","","","","","","","","","","","7","7","7","0.2","0.2","0.2"
"79490","6","6","6","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
"81089","","","","","","","7","7","7","0.4","0.4","0.4","","","","","","","","","","","",""
"81387","7","7","7","0.5","0.5","0.5","","","","","","","","","","","","","","","","","",""
"82360","6","6","6","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"82795","","","","","","","7","7","7","0.1","0.1","0.1","","","","","","","","","","","",""
"84393","","","","","","","7","7","7","0.3","0.3","0.3","","","","","","","","","","","",""
"85314","","","","","","","","","","","","","8","8","8","0.1","0.1","0.1","","","","","",""
"86711","","","","","","","","","","","","","","","","","","","8","8","8","0.1","0.1","0.1"
"87329","","","","","","","","","","","","","","","","","","","8","8","8","0.3","0.3","0.3"
"87495","","","","","","","","","","","","","8","8","8","0.2","0.2","0.2","","","","","",""
"88194","","","","","","","","","","","","","8","8","8","0.1","0.1","0.1","","","","","",""
"88236","","","","","","","","","","","","","8","8","8","0.1","0.1","0.1","","","","","",""
"88379","","","","","","","","","","","","","8","8","8","0.3","0.3","0.3","","","","","",""
"88404","","","","","","","","","","","","","8","8","8","0.2","0.2","0.2","","","","","",""
"88794","","","","","","","","","","","","","8","8","8","0.1","0.1","0.1","","","","","",""
"88828","","","","","","","","","","","","","8","8","8","0.3","0.3","0.3","","","","","",""
"89036","","","","","","","","","","","","","","","","","","","8","8","8","0.5","0.5","0.5"
"91915","8","8","8","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","",""
"92281","7","7","7","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","",""
"93873","","","","","","","8","8","8","0.1","0.1","0.1","","","","","","","","","","","",""
"94859","","","","","","","","","","","","","9","9","9","0.1","0.1","0.1","","","","","",""
"94946","7","7","7","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"95792","","","","","","","8","8","8","0.3","0.3","0.3","","","","","","","","","","","",""
"96753","","","","","","","","","","","","","","","","","","","9","9","9","0.1","0.1","0.1"
"97834","","","","","","","","","","","","","","","","","","","9","9","9","0.1","0.1","0.1"
"97918","","","","","","","","","","","","","9","9","9","0.1","0.1","0.1","","","","","",""
"97957","","","","","","","8","8","8","0.3","0.3","0.3","","","","","","","","","","","",""
"98314","","","","","","","","","","","","","9","9","9","0","0","0","","","","","",""
"98358","","","","","","","","","","","","","9","9","9","0.2","0.2","0.2","","","","","",""
"98640","","","","","","","","","","","","","9","9","9","0","0","0","","","","","",""
"98710","","","","","","","","","","","","","9","9","9","0","0","0","","","","","",""
"99015","","","","","","","","","","","","","9","9","9","0.1","0.1","0.1","","","","","",""
"99070","","","","","","","","","","","","","9","9","9","0","0","0","","","","","",""
"99241","","","","","","","","","","","","","","","","","","","9","9","9","0.1","0.1","0.1"
"102249","9","9","9","1.5","1.5","1.5","","","","","","","","","","","","","","","","","",""
"104301","","","","","","","","","","","","","10","10","10","0","0","0","","","","","",""
"105517","8","8","8","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","",""
"106589","","","","","","","9","9","9","0.2","0.2","0.2","","","","","","","","","","","",""
"106933","","","","","","","","","","","","","","","","","","","10","10","10","0.4","0.4","0.4"
"107672","","","","","","","","","","","","","10","10","10","0","0","0","","","","","",""
"107677","","","","","","","","","","","","","","","","","","","10","10","10","0.3","0.3","0.3"
"107691","8","8","8","0.3","0.3","0.3","","","","","","","","","","","","","","","","","",""
"108115","","","","","","","","","","","","","10","10","10","0.2","0.2","0.2","","","","","",""
"108317","","","","","","","9","9","9","0.1","0.1","0.1","","","","","","","","","","","",""
"108736","","","","","","","","","","","","","10","10","10","0.3","0.3","0.3","","","","","",""
"108817","","","","","","","","","","","","","10","10","10","0.1","0.1","0.1","","","","","",""
"108883","","","","","","","","","","","","","10","10","10","0.1","0.1","0.1","","","","","",""
"109390","","","","","","","","","","","","","","","","","","","10","10","10","0","0","0"
"109439","","","","","","","","","","","","","10","10","10","0.3","0.3","0.3","","","","","",""
"109733","","","","","","","","","","","","","10","10","10","0.1","0.1","0.1","","","","","",""
"111608","","","","","","","9","9","9","0","0","0","","","","","","","","","","","",""
"112881","10","10","10","1.2","1.2","1.2","","","","","","","","","","","","","","","","","",""
"113999","","","","","","","","","","","","","11","11","11","0","0","0","","","","","",""
"116768","","","","","","","","","","","","","","","","","","","11","11","11","0.1","0.1","0.1"
"117450","","","","","","","","","","","","","11","11","11","0.1","0.1","0.1","","","","","",""
"117840","","","","","","","","","","","","","","","","","","","11","11","11","0.2","0.2","0.2"
"118557","","","","","","","","","","","","","11","11","11","0.2","0.2","0.2","","","","","",""
"118618","","","","","","","","","","","","","11","11","11","0.1","0.1","0.1","","","","","",""
"118797","9","9","9","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","","","","","","","",""
"119179","","","","","","","","","","","","","11","11","11","0.4","0.4","0.4","","","","","",""
"119189","","","","","","","","","","","","","11","11","11","0.2","0.2","0.2","","","","","",""
"119584","","","","","","","10","10","10","0.3","0.3","0.3","","","","","","","","","","","",""
"119627","","","","","","","","","","","","","11","11","11","0.2","0.2","0.2","","","","","",""
"119862","","","","","","","","","","","","","","","","","","","11","11","11","0","0","0"
"119881","","","","","","","","","","","","","11","11","11","0.3","0.3","0.3","","","","","",""
"120560","9","9","9","0.5","0.5","0.5","","","","","","","","","","","","","","","","","",""
"121251","","","","","","","10","10","10","0.2","0.2","0.2","","","","","","","","","","","",""
"123259","11","11","11","1.5","1.5","1.5","","","","","","","","","","","","","","","","","",""
"123536","","","","","","","","","","","","","12","12","12","0.2","0.2","0.2","","","","","",""
"124727","","","","","","","10","10","10","0.3","0.3","0.3","","","","","","","","","","","",""
"126911","","","","","","","","","","","","","","","","","","","12","12","12","0.2","0.2","0.2"
"128046","","","","","","","","","","","","","12","12","12","0.1","0.1","0.1","","","","","",""
"128112","","","","","","","","","","","","","","","","","","","12","12","12","0","0","0"
"129292","","","","","","","","","","","","","12","12","12","0","0","0","","","","","",""
"129893","","","","","","","","","","","","","","","","","","","12","12","12","0.2","0.2","0.2"
"130003","","","","","","","","","","","","","12","12","12","0","0","0","","","","","",""
"130346","","","","","","","","","","","","","12","12","12","0","0","0","","","","","",""
"130814","","","","","","","","","","","","","12","12","12","0.1","0.1","0.1","","","","","",""
"130951","","","","","","","","","","","","","12","12","12","0.4","0.4","0.4","","","","","",""
"131209","","","","","","","","","","","","","12","12","12","0.1","0.1","0.1","","","","","",""
"131819","10","10","10","1.9","1.9","1.9","","","","","","","","","","","","","","","","","",""
"133011","","","","","","","11","11","11","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","",""
"133421","","","","","","","","","","","","","13","13","13","0.6","0.6","0.6","","","","","",""
"133500","12","12","12","2","2","2","","","","","","","","","","","","","","","","","",""
"133593","10","10","10","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"134115","","","","","","","11","11","11","0.5","0.5","0.5","","","","","","","","","","","",""
"136701","","","","","","","","","","","","","","","","","","","13","13","13","0.4","0.4","0.4"
"138395","","","","","","","","","","","","","","","","","","","13","13","13","0.3","0.3","0.3"
"138495","","","","","","","11","11","11","0.2","0.2","0.2","","","","","","","","","","","",""
"139961","","","","","","","","","","","","","","","","","","","13","13","13","0.1","0.1","0.1"
"140702","","","","","","","","","","","","","13","13","13","0.4","0.4","0.4","","","","","",""
"141983","","","","","","","","","","","","","13","13","13","0.5","0.5","0.5","","","","","",""
"142768","","","","","","","","","","","","","14","14","14","0.4","0.4","0.4","","","","","",""
"142835","","","","","","","","","","","","","13","13","13","0.4","0.4","0.4","","","","","",""
"143437","","","","","","","","","","","","","13","13","13","0.2","0.2","0.2","","","","","",""
"143820","13","13","13","2.5","2.5","2.5","","","","","","","","","","","","","","","","","",""
"143850","","","","","","","","","","","","","13","13","13","0","0","0","","","","","",""
"144155","","","","","","","","","","","","","13","13","13","0.2","0.2","0.2","","","","","",""
"144337","","","","","","","","","","","","","13","13","13","0.3","0.3","0.3","","","","","",""
"144594","11","11","11","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","",""
"146355","11","11","11","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"146447","","","","","","","12","12","12","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","",""
"146454","","","","","","","12","12","12","0.2","0.2","0.2","","","","","","","","","","","",""
"146649","","","","","","","","","","","","","","","","","","","14","14","14","0.2","0.2","0.2"
"148812","","","","","","","","","","","","","","","","","","","14","14","14","0.1","0.1","0.1"
"150390","","","","","","","","","","","","","","","","","","","14","14","14","0.5","0.5","0.5"
"152040","","","","","","","12","12","12","0.5","0.5","0.5","","","","","","","","","","","",""
"152881","","","","","","","","","","","","","15","15","15","0.1","0.1","0.1","","","","","",""
"153993","","","","","","","","","","","","","14","14","14","0.2","0.2","0.2","","","","","",""
"154187","14","14","14","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","","","","","","","",""
"154968","","","","","","","","","","","","","14","14","14","0.2","0.2","0.2","","","","","",""
"155988","","","","","","","","","","","","","14","14","14","0.3","0.3","0.3","","","","","",""
"156307","","","","","","","","","","","","","","","","","","","15","15","15","0.1","0.1","0.1"
"157130","","","","","","","","","","","","","14","14","14","0.2","0.2","0.2","","","","","",""
"157259","","","","","","","","","","","","","14","14","14","0.2","0.2","0.2","","","","","",""
"157277","","","","","","","","","","","","","14","14","14","0.4","0.4","0.4","","","","","",""
"157319","","","","","","","","","","","","","14","14","14","0.3","0.3","0.3","","","","","",""
"157588","12","12","12","2","2","2","","","","","","","","","","","","","","","","","",""
"159129","","","","","","","13","13","13","1","1","1","","","","","","","","","","","",""
"159402","","","","","","","","","","","","","","","","","","","15","15","15","0","0","0"
"159424","12","12","12","0.5","0.5","0.5","","","","","","","","","","","","","","","","","",""
"159781","","","","","","","13","13","13","1.6","1.6","1.6","","","","","","","","","","","",""
"160198","","","","","","","","","","","","","","","","","","","15","15","15","0.1","0.1","0.1"
"162458","","","","","","","","","","","","","16","16","16","0.3","0.3","0.3","","","","","",""
"164845","15","15","15","3.6999999999999997","3.6999999999999997","3.6999999999999997","","","","","","","","","","","","","","","","","",""
"165731","","","","","","","","","","","","","","","","","","","16","16","16","0.3","0.3","0.3"
"166029","","","","","","","13","13","13","1.3","1.3","1.3","","","","","","","","","","","",""
"167084","","","","","","","","","","","","","15","15","15","0.2","0.2","0.2","","","","","",""
"168202","","","","","","","","","","","","","15","15","15","0.3","0.3","0.3","","","","","",""
"169247","","","","","","","","","","","","","15","15","15","0.4","0.4","0.4","","","","","",""
"169951","","","","","","","","","","","","","","","","","","","16","16","16","0.2","0.2","0.2"
"170129","","","","","","","","","","","","","15","15","15","0.2","0.2","0.2","","","","","",""
"170353","","","","","","","","","","","","","","","","","","","16","16","16","0.3","0.3","0.3"
"170491","","","","","","","","","","","","","15","15","15","0.3","0.3","0.3","","","","","",""
"170621","","","","","","","","","","","","","15","15","15","0.2","0.2","0.2","","","","","",""
"170655","","","","","","","","","","","","","15","15","15","0.5","0.5","0.5","","","","","",""
"170817","13","13","13","2.1","2.1","2.1","","","","","","","","","","","","","","","","","",""
"172251","","","","","","","14","14","14","0.8","0.8","0.8","","","","","","","","","","","",""
"172285","","","","","","","","","","","","","17","17","17","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","",""
"172397","13","13","13","0.3","0.3","0.3","","","","","","","","","","","","","","","","","",""
"173016","","","","","","","14","14","14","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","",""
"175274","","","","","","","","","","","","","","","","","","","17","17","17","0.2","0.2","0.2"
"175925","16","16","16","2.8000000000000003","2.8000000000000003","2.8000000000000003","","","","","","","","","","","","","","","","","",""
"179958","","","","","","","","","","","","","","","","","","","17","17","17","0.3","0.3","0.3"
"179961","","","","","","","14","14","14","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","",""
"180208","","","","","","","","","","","","","16","16","16","0.3","0.3","0.3","","","","","",""
"180473","","","","","","","","","","","","","","","","","","","17","17","17","0.4","0.4","0.4"
"181902","","","","","","","","","","","","","16","16","16","0.8","0.8","0.8","","","","","",""
"182047","","","","","","","","","","","","","18","18","18","0.2","0.2","0.2","","","","","",""
"182341","","","","","","","","","","","","","16","16","16","0.5","0.5","0.5","","","","","",""
"182796","","","","","","","","","","","","","16","16","16","0","0","0","","","","","",""
"183798","14","14","14","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","","","","","","","",""
"183976","","","","","","","","","","","","","16","16","16","0.2","0.2","0.2","","","","","",""
"184288","","","","","","","","","","","","","16","16","16","0.1","0.1","0.1","","","","","",""
"184319","","","","","","","","","","","","","16","16","16","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","",""
"184869","","","","","","","","","","","","","","","","","","","18","18","18","0.3","0.3","0.3"
"185262","14","14","14","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","","","","","","","",""
"185406","","","","","","","15","15","15","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","","","","","","","",""
"186031","","","","","","","15","15","15","2.3","2.3","2.3","","","","","","","","","","","",""
"186639","17","17","17","2.1","2.1","2.1","","","","","","","","","","","","","","","","","",""
"191041","","","","","","","","","","","","","","","","","","","18","18","18","0.5","0.5","0.5"
"191276","","","","","","","","","","","","","","","","","","","18","18","18","0.6","0.6","0.6"
"191625","","","","","","","","","","","","","19","19","19","0.6","0.6","0.6","","","","","",""
"193212","","","","","","","","","","","","","17","17","17","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","",""
"194120","","","","","","","15","15","15","2","2","2","","","","","","","","","","","",""
"195049","","","","","","","","","","","","","17","17","17","1.2","1.2","1.2","","","","","",""
"195390","","","","","","","","","","","","","17","17","17","0.2","0.2","0.2","","","","","",""
"196157","","","","","","","","","","","","","","","","","","","19","19","19","0.1","0.1","0.1"
"196252","","","","","","","","","","","","","17","17","17","0.4","0.4","0.4","","","","","",""
"196884","15","15","15","2.7","2.7","2.7","","","","","","","","","","","","","","","","","",""
"196973","","","","","","","","","","","","","17","17","17","0.2","0.2","0.2","","","","","",""
"197260","18","18","18","4.1000000000000005","4.1000000000000005","4.1000000000000005","","","","","","","","","","","","","","","","","",""
"197322","","","","","","","","","","","","","17","17","17","0.6","0.6","0.6","","","","","",""
"197861","","","","","","","","","","","","","17","17","17","1.6","1.6","1.6","","","","","",""
"198137","","","","","","","16","16","16","2.6","2.6","2.6","","","","","","","","","","","",""
"198441","15","15","15","1.3","1.3","1.3","","","","","","","","","","","","","","","","","",""
"199257","","","","","","","16","16","16","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","",""
"201597","","","","","","","","","","","","","20","20","20","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","",""
"204096","","","","","","","","","","","","","","","","","","","19","19","19","0.3","0.3","0.3"
"204389","","","","","","","","","","","","","","","","","","","19","19","19","0.5","0.5","0.5"
"206472","","","","","","","","","","","","","18","18","18","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","",""
"207963","19","19","19","4.3999999999999995","4.3999999999999995","4.3999999999999995","","","","","","","","","","","","","","","","","",""
"208010","","","","","","","","","","","","","","","","","","","20","20","20","0.3","0.3","0.3"
"208095","","","","","","","16","16","16","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","",""
"208302","","","","","","","","","","","","","18","18","18","0.8","0.8","0.8","","","","","",""
"208446","","","","","","","","","","","","","18","18","18","0.8","0.8","0.8","","","","","",""
"209446","","","","","","","","","","","","","18","18","18","0.5","0.5","0.5","","","","","",""
"210156","16","16","16","3.5999999999999996","3.5999999999999996","3.5999999999999996","","","","","","","","","","","","","","","","","",""
"210202","","","","","","","","","","","","","18","18","18","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","",""
"210209","","","","","","","","","","","","","18","18","18","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","",""
"211209","","","","","","","17","17","17","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","",""
"211301","","","","","","","","","","","","","21","21","21","0.8999999999999999","0.8999999999999999","0.8999999999999999","","","","","",""
