"num_samples","num_thread: 5 (threads: partner IQL) - _step","num_thread: 5 (threads: partner IQL) - _step__MIN","num_thread: 5 (threads: partner IQL) - _step__MAX","num_thread: 5 (threads: partner IQL) - score","num_thread: 5 (threads: partner IQL) - score__MIN","num_thread: 5 (threads: partner IQL) - score__MAX","num_thread: 10 (threads: partner IQL) - _step","num_thread: 10 (threads: partner IQL) - _step__MIN","num_thread: 10 (threads: partner IQL) - _step__MAX","num_thread: 10 (threads: partner IQL) - score","num_thread: 10 (threads: partner IQL) - score__MIN","num_thread: 10 (threads: partner IQL) - score__MAX","num_thread: 20 (threads: partner IQL) - _step","num_thread: 20 (threads: partner IQL) - _step__MIN","num_thread: 20 (threads: partner IQL) - _step__MAX","num_thread: 20 (threads: partner IQL) - score","num_thread: 20 (threads: partner IQL) - score__MIN","num_thread: 20 (threads: partner IQL) - score__MAX","num_thread: 40 (threads: partner IQL) - _step","num_thread: 40 (threads: partner IQL) - _step__MIN","num_thread: 40 (threads: partner IQL) - _step__MAX","num_thread: 40 (threads: partner IQL) - score","num_thread: 40 (threads: partner IQL) - score__MIN","num_thread: 40 (threads: partner IQL) - score__MAX","num_thread: 80 (threads: partner IQL) - _step","num_thread: 80 (threads: partner IQL) - _step__MIN","num_thread: 80 (threads: partner IQL) - _step__MAX","num_thread: 80 (threads: partner IQL) - score","num_thread: 80 (threads: partner IQL) - score__MIN","num_thread: 80 (threads: partner IQL) - score__MAX","num_thread: 120 (threads: partner IQL) - _step","num_thread: 120 (threads: partner IQL) - _step__MIN","num_thread: 120 (threads: partner IQL) - _step__MAX","num_thread: 120 (threads: partner IQL) - score","num_thread: 120 (threads: partner IQL) - score__MIN","num_thread: 120 (threads: partner IQL) - score__MAX","num_thread: 160 (threads: partner IQL) - _step","num_thread: 160 (threads: partner IQL) - _step__MIN","num_thread: 160 (threads: partner IQL) - _step__MAX","num_thread: 160 (threads: partner IQL) - score","num_thread: 160 (threads: partner IQL) - score__MIN","num_thread: 160 (threads: partner IQL) - score__MAX"
"21211","","","","","","","","","","","","","1","1","1","16.239","16.239","16.239","","","","","","","","","","","","","","","","","","","","","","","",""
"21240","","","","","","","","","","","","","1","1","1","16.812","16.812","16.812","","","","","","","","","","","","","","","","","","","","","","","",""
"21256","","","","","","","","","","","","","1","1","1","16.928","16.928","16.928","","","","","","","","","","","","","","","","","","","","","","","",""
"21310","","","","","","","","","","","","","1","1","1","17.132","17.132","17.132","","","","","","","","","","","","","","","","","","","","","","","",""
"21358","","","","","","","","","","","","","1","1","1","16.642","16.642","16.642","","","","","","","","","","","","","","","","","","","","","","","",""
"21463","","","","","","","","","","","","","1","1","1","16.598","16.598","16.598","","","","","","","","","","","","","","","","","","","","","","","",""
"21638","4","4","4","17.896","17.896","17.896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21720","4","4","4","17.634","17.634","17.634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22061","","","","","","","","","","","","","1","1","1","16.507","16.507","16.507","","","","","","","","","","","","","","","","","","","","","","","",""
"22091","","","","","","","","","","","","","1","1","1","16.731","16.731","16.731","","","","","","","","","","","","","","","","","","","","","","","",""
"22092","4","4","4","18.146","18.146","18.146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22243","","","","","","","2","2","2","17.486","17.486","17.486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22359","","","","","","","2","2","2","17.642","17.642","17.642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24572","5","5","5","18.133","18.133","18.133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24635","5","5","5","18.25","18.25","18.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25130","5","5","5","18.252","18.252","18.252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25838","","","","","","","3","3","3","17.925","17.925","17.925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27495","6","6","6","18.254","18.254","18.254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27557","6","6","6","18.471","18.471","18.471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27965","","","","","","","3","3","3","18.065","18.065","18.065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28176","6","6","6","18.602","18.602","18.602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28639","","","","","","","3","3","3","18.341","18.341","18.341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29235","","","","","","","","","","","","","","","","","","","1","1","1","16.964","16.964","16.964","","","","","","","","","","","","","","","","","",""
"30441","7","7","7","18.745","18.745","18.745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30478","7","7","7","18.302","18.302","18.302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30672","","","","","","","","","","","","","","","","","","","1","1","1","17.187","17.187","17.187","","","","","","","","","","","","","","","","","",""
"30796","","","","","","","","","","","","","2","2","2","18.049","18.049","18.049","","","","","","","","","","","","","","","","","","","","","","","",""
"31122","","","","","","","4","4","4","18.64","18.64","18.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31204","7","7","7","18.762","18.762","18.762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32429","","","","","","","","","","","","","2","2","2","18.064","18.064","18.064","","","","","","","","","","","","","","","","","","","","","","","",""
"32452","","","","","","","","","","","","","2","2","2","18.085","18.085","18.085","","","","","","","","","","","","","","","","","","","","","","","",""
"32469","","","","","","","","","","","","","2","2","2","18.07","18.07","18.07","","","","","","","","","","","","","","","","","","","","","","","",""
"32472","","","","","","","","","","","","","2","2","2","17.957","17.957","17.957","","","","","","","","","","","","","","","","","","","","","","","",""
"32888","","","","","","","","","","","","","2","2","2","18.054","18.054","18.054","","","","","","","","","","","","","","","","","","","","","","","",""
"33111","","","","","","","","","","","","","2","2","2","18.101","18.101","18.101","","","","","","","","","","","","","","","","","","","","","","","",""
"33354","8","8","8","18.975","18.975","18.975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33381","8","8","8","18.814","18.814","18.814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33809","","","","","","","","","","","","","2","2","2","17.849","17.849","17.849","","","","","","","","","","","","","","","","","","","","","","","",""
"33968","","","","","","","4","4","4","18.906","18.906","18.906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33994","","","","","","","","","","","","","2","2","2","17.882","17.882","17.882","","","","","","","","","","","","","","","","","","","","","","","",""
"34260","8","8","8","18.972","18.972","18.972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34454","","","","","","","","","","","","","","","","","","","1","1","1","16.788","16.788","16.788","","","","","","","","","","","","","","","","","",""
"34951","","","","","","","4","4","4","19.129","19.129","19.129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36232","9","9","9","18.88","18.88","18.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36349","9","9","9","18.881","18.881","18.881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36457","","","","","","","5","5","5","18.923","18.923","18.923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37242","9","9","9","18.903","18.903","18.903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39156","10","10","10","19.11","19.11","19.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39323","10","10","10","18.961","18.961","18.961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39925","","","","","","","5","5","5","19.209","19.209","19.209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.155","16.155","16.155"
"40244","10","10","10","19.038","19.038","19.038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40813","","","","","","","","","","","","","3","3","3","18.812","18.812","18.812","","","","","","","","","","","","","","","","","","","","","","","",""
"41147","","","","","","","5","5","5","19.231","19.231","19.231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41687","","","","","","","6","6","6","19.077","19.077","19.077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42061","11","11","11","19.278","19.278","19.278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42239","11","11","11","19.312","19.312","19.312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43258","11","11","11","19.527","19.527","19.527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43867","","","","","","","","","","","","","3","3","3","19.045","19.045","19.045","","","","","","","","","","","","","","","","","","","","","","","",""
"43885","","","","","","","","","","","","","3","3","3","19.298","19.298","19.298","","","","","","","","","","","","","","","","","","","","","","","",""
"43887","","","","","","","","","","","","","3","3","3","19.13","19.13","19.13","","","","","","","","","","","","","","","","","","","","","","","",""
"43933","","","","","","","","","","","","","3","3","3","19.081","19.081","19.081","","","","","","","","","","","","","","","","","","","","","","","",""
"44509","","","","","","","","","","","","","3","3","3","19.054","19.054","19.054","","","","","","","","","","","","","","","","","","","","","","","",""
"44797","","","","","","","","","","","","","3","3","3","19.008","19.008","19.008","","","","","","","","","","","","","","","","","","","","","","","",""
"44938","12","12","12","19.202","19.202","19.202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45187","12","12","12","19.151","19.151","19.151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45633","","","","","","","","","","","","","3","3","3","18.779","18.779","18.779","","","","","","","","","","","","","","","","","","","","","","","",""
"45954","","","","","","","","","","","","","3","3","3","18.998","18.998","18.998","","","","","","","","","","","","","","","","","","","","","","","",""
"45967","","","","","","","6","6","6","19.694","19.694","19.694","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46265","12","12","12","19.294","19.294","19.294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.164","16.164","16.164"
"47120","","","","","","","7","7","7","19.481","19.481","19.481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47398","","","","","","","6","6","6","19.437","19.437","19.437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47887","13","13","13","19.387","19.387","19.387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48091","13","13","13","19.094","19.094","19.094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.848","16.848","16.848","","","","","",""
"49031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.993","16.993","16.993","","","","","",""
"49110","","","","","","","","","","","","","","","","","","","2","2","2","18.408","18.408","18.408","","","","","","","","","","","","","","","","","",""
"49256","13","13","13","19.377","19.377","19.377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50823","14","14","14","19.401","19.401","19.401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51069","14","14","14","19.48","19.48","19.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51111","","","","","","","","","","","","","4","4","4","19.287","19.287","19.287","","","","","","","","","","","","","","","","","","","","","","","",""
"51913","","","","","","","7","7","7","19.609","19.609","19.609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52243","14","14","14","19.773","19.773","19.773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52430","","","","","","","8","8","8","19.499","19.499","19.499","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52604","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.137","17.137","17.137","","","","","","","","","","","",""
"53470","","","","","","","7","7","7","19.592","19.592","19.592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53712","15","15","15","19.382","19.382","19.382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54031","15","15","15","19.46","19.46","19.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55238","","","","","","","","","","","","","","","","","","","2","2","2","18.424","18.424","18.424","","","","","","","","","","","","","","","","","",""
"55283","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.111","17.111","17.111","","","","","","","","","","","",""
"55297","15","15","15","19.28","19.28","19.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55333","","","","","","","","","","","","","4","4","4","19.499","19.499","19.499","","","","","","","","","","","","","","","","","","","","","","","",""
"55335","","","","","","","","","","","","","4","4","4","19.569","19.569","19.569","","","","","","","","","","","","","","","","","","","","","","","",""
"55371","","","","","","","","","","","","","4","4","4","19.249","19.249","19.249","","","","","","","","","","","","","","","","","","","","","","","",""
"55590","","","","","","","","","","","","","4","4","4","19.616","19.616","19.616","","","","","","","","","","","","","","","","","","","","","","","",""
"56038","","","","","","","","","","","","","4","4","4","19.371","19.371","19.371","","","","","","","","","","","","","","","","","","","","","","","",""
"56314","","","","","","","","","","","","","","","","","","","2","2","2","18.631","18.631","18.631","","","","","","","","","","","","","","","","","",""
"56379","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.231","17.231","17.231","","","","","","","","","","","",""
"56632","","","","","","","","","","","","","4","4","4","19.138","19.138","19.138","","","","","","","","","","","","","","","","","","","","","","","",""
"56635","16","16","16","19.297","19.297","19.297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56980","16","16","16","19.335","19.335","19.335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57595","","","","","","","","","","","","","4","4","4","19.333","19.333","19.333","","","","","","","","","","","","","","","","","","","","","","","",""
"57757","","","","","","","9","9","9","19.443","19.443","19.443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57863","","","","","","","","","","","","","4","4","4","19.613","19.613","19.613","","","","","","","","","","","","","","","","","","","","","","","",""
"57955","","","","","","","8","8","8","19.859","19.859","19.859","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58307","16","16","16","19.679","19.679","19.679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59518","17","17","17","19.778","19.778","19.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59785","","","","","","","8","8","8","20.101","20.101","20.101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59882","17","17","17","19.815","19.815","19.815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61153","","","","","","","","","","","","","5","5","5","19.636","19.636","19.636","","","","","","","","","","","","","","","","","","","","","","","",""
"61322","17","17","17","19.621","19.621","19.621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62418","18","18","18","19.889","19.889","19.889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62772","18","18","18","19.615","19.615","19.615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63160","","","","","","","10","10","10","20.126","20.126","20.126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63660","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.533","17.533","17.533","","","","","","","","","","","",""
"63830","","","","","","","9","9","9","19.769","19.769","19.769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64319","18","18","18","19.94","19.94","19.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65329","19","19","19","19.76","19.76","19.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65609","19","19","19","19.852","19.852","19.852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65882","","","","","","","9","9","9","20.111","20.111","20.111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66498","","","","","","","","","","","","","5","5","5","19.876","19.876","19.876","","","","","","","","","","","","","","","","","","","","","","","",""
"67003","","","","","","","","","","","","","5","5","5","20.166","20.166","20.166","","","","","","","","","","","","","","","","","","","","","","","",""
"67283","","","","","","","","","","","","","5","5","5","19.947","19.947","19.947","","","","","","","","","","","","","","","","","","","","","","","",""
"67314","19","19","19","19.842","19.842","19.842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67315","","","","","","","","","","","","","5","5","5","19.747","19.747","19.747","","","","","","","","","","","","","","","","","","","","","","","",""
"67755","","","","","","","","","","","","","5","5","5","20.006","20.006","20.006","","","","","","","","","","","","","","","","","","","","","","","",""
"67957","","","","","","","","","","","","","","","","","","","3","3","3","19.204","19.204","19.204","","","","","","","","","","","","","","","","","",""
"68245","20","20","20","19.921","19.921","19.921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68520","","","","","","","11","11","11","20.079","20.079","20.079","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68553","20","20","20","19.786","19.786","19.786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68671","","","","","","","","","","","","","5","5","5","19.808","19.808","19.808","","","","","","","","","","","","","","","","","","","","","","","",""
"69339","","","","","","","","","","","","","5","5","5","19.759","19.759","19.759","","","","","","","","","","","","","","","","","","","","","","","",""
"69799","","","","","","","10","10","10","20.013","20.013","20.013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69985","","","","","","","","","","","","","5","5","5","19.705","19.705","19.705","","","","","","","","","","","","","","","","","","","","","","","",""
"70315","20","20","20","20.059","20.059","20.059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71157","21","21","21","19.761","19.761","19.761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71407","","","","","","","","","","","","","6","6","6","19.827","19.827","19.827","","","","","","","","","","","","","","","","","","","","","","","",""
"71485","21","21","21","20.117","20.117","20.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72053","","","","","","","10","10","10","20.223","20.223","20.223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73312","21","21","21","19.994","19.994","19.994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73871","","","","","","","12","12","12","20.12","20.12","20.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74034","22","22","22","20.179","20.179","20.179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74456","22","22","22","19.784","19.784","19.784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75248","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.237","18.237","18.237","","","","","","","","","","","",""
"75800","","","","","","","11","11","11","20.247","20.247","20.247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76325","22","22","22","19.752","19.752","19.752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76343","","","","","","","","","","","","","","","","","","","3","3","3","19.538","19.538","19.538","","","","","","","","","","","","","","","","","",""
"76945","23","23","23","20.17","20.17","20.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77388","23","23","23","19.83","19.83","19.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77917","","","","","","","","","","","","","6","6","6","20.144","20.144","20.144","","","","","","","","","","","","","","","","","","","","","","","",""
"78352","","","","","","","11","11","11","20.046","20.046","20.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78935","","","","","","","","","","","","","6","6","6","20.161","20.161","20.161","","","","","","","","","","","","","","","","","","","","","","","",""
"78984","","","","","","","","","","","","","6","6","6","20.05","20.05","20.05","","","","","","","","","","","","","","","","","","","","","","","",""
"79032","","","","","","","","","","","","","6","6","6","20.286","20.286","20.286","","","","","","","","","","","","","","","","","","","","","","","",""
"79140","","","","","","","13","13","13","20.189","20.189","20.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79361","23","23","23","20.244","20.244","20.244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79555","","","","","","","","","","","","","6","6","6","20.157","20.157","20.157","","","","","","","","","","","","","","","","","","","","","","","",""
"79841","24","24","24","20.022","20.022","20.022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80293","24","24","24","19.968","19.968","19.968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80378","","","","","","","","","","","","","","","","","","","3","3","3","19.379","19.379","19.379","","","","","","","","","","","","","","","","","",""
"80863","","","","","","","","","","","","","6","6","6","20.146","20.146","20.146","","","","","","","","","","","","","","","","","","","","","","","",""
"81455","","","","","","","","","","","","","6","6","6","20.115","20.115","20.115","","","","","","","","","","","","","","","","","","","","","","","",""
"81692","","","","","","","","","","","","","6","6","6","20.206","20.206","20.206","","","","","","","","","","","","","","","","","","","","","","","",""
"81757","","","","","","","","","","","","","7","7","7","20.127","20.127","20.127","","","","","","","","","","","","","","","","","","","","","","","",""
"81805","","","","","","","12","12","12","20.186","20.186","20.186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82378","24","24","24","20.138","20.138","20.138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82740","25","25","25","19.949","19.949","19.949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83186","25","25","25","20.325","20.325","20.325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84468","","","","","","","14","14","14","20.131","20.131","20.131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84642","","","","","","","12","12","12","20.406","20.406","20.406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85367","25","25","25","20.128","20.128","20.128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85652","26","26","26","20.273","20.273","20.273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86084","26","26","26","19.903","19.903","19.903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86498","","","","","","","","","","","","","","","","","","","4","4","4","19.774","19.774","19.774","","","","","","","","","","","","","","","","","",""
"87802","","","","","","","13","13","13","20.324","20.324","20.324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88353","26","26","26","20.369","20.369","20.369","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88563","27","27","27","20.189","20.189","20.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88979","27","27","27","20.224","20.224","20.224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89410","","","","","","","","","","","","","7","7","7","20.382","20.382","20.382","","","","","","","","","","","","","","","","","","","","","","","",""
"89657","","","","","","","15","15","15","20.249","20.249","20.249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90606","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.755","18.755","18.755","","","","","","","","","","","",""
"90684","","","","","","","","","","","","","7","7","7","20.377","20.377","20.377","","","","","","","","","","","","","","","","","","","","","","","",""
"90766","","","","","","","","","","","","","7","7","7","20.41","20.41","20.41","","","","","","","","","","","","","","","","","","","","","","","",""
"90882","","","","","","","13","13","13","20.176","20.176","20.176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91019","","","","","","","","","","","","","7","7","7","20.251","20.251","20.251","","","","","","","","","","","","","","","","","","","","","","","",""
