"num_samples","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 50000 (Replay size: partner OBL5) - score","replay_buffer_size: 50000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - score__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - score","replay_buffer_size: 100000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - score__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - score","replay_buffer_size: 150000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - score__MAX","replay_buffer_size: 200000 (Replay size: partner OBL5) - _step","replay_buffer_size: 200000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 200000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 200000 (Replay size: partner OBL5) - score","replay_buffer_size: 200000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 200000 (Replay size: partner OBL5) - score__MAX"
"38645","","","","","","","","","","","","","3","3","3","11.668","11.668","11.668","","","","","",""
"38667","","","","","","","3","3","3","12.214","12.214","12.214","","","","","","","","","","","",""
"38682","3","3","3","11.998","11.998","11.998","","","","","","","","","","","","","","","","","",""
"38763","3","3","3","12.015","12.015","12.015","","","","","","","","","","","","","","","","","",""
"38879","","","","","","","3","3","3","11.845","11.845","11.845","","","","","","","","","","","",""
"38936","","","","","","","3","3","3","11.978","11.978","11.978","","","","","","","","","","","",""
"39270","","","","","","","","","","","","","","","","","","","3","3","3","12.206","12.206","12.206"
"40613","","","","","","","","","","","","","","","","","","","3","3","3","12.151","12.151","12.151"
"46491","","","","","","","4","4","4","12.094","12.094","12.094","","","","","","","","","","","",""
"47313","","","","","","","","","","","","","4","4","4","12.172","12.172","12.172","","","","","",""
"47360","4","4","4","12.275","12.275","12.275","","","","","","","","","","","","","","","","","",""
"47393","","","","","","","","","","","","","4","4","4","12.023","12.023","12.023","","","","","",""
"47804","","","","","","","","","","","","","","","","","","","4","4","4","11.915","11.915","11.915"
"47847","","","","","","","4","4","4","12.21","12.21","12.21","","","","","","","","","","","",""
"47912","","","","","","","4","4","4","11.768","11.768","11.768","","","","","","","","","","","",""
"48050","","","","","","","4","4","4","12.257","12.257","12.257","","","","","","","","","","","",""
"48288","","","","","","","4","4","4","11.938","11.938","11.938","","","","","","","","","","","",""
"48470","","","","","","","","","","","","","4","4","4","12.061","12.061","12.061","","","","","",""
"48521","","","","","","","4","4","4","12.232","12.232","12.232","","","","","","","","","","","",""
"48606","","","","","","","4","4","4","12.38","12.38","12.38","","","","","","","","","","","",""
"48694","4","4","4","11.813","11.813","11.813","","","","","","","","","","","","","","","","","",""
"48774","","","","","","","4","4","4","12.306","12.306","12.306","","","","","","","","","","","",""
"48788","4","4","4","12.201","12.201","12.201","","","","","","","","","","","","","","","","","",""
"49201","","","","","","","","","","","","","","","","","","","4","4","4","12.022","12.022","12.022"
"51578","","","","","","","","","","","","","","","","","","","4","4","4","12.31","12.31","12.31"
"56197","","","","","","","5","5","5","12.456","12.456","12.456","","","","","","","","","","","",""
"56959","5","5","5","12.182","12.182","12.182","","","","","","","","","","","","","","","","","",""
"57180","","","","","","","","","","","","","5","5","5","12.84","12.84","12.84","","","","","",""
"57238","","","","","","","","","","","","","5","5","5","12.398","12.398","12.398","","","","","",""
"57644","","","","","","","","","","","","","","","","","","","5","5","5","12.626","12.626","12.626"
"57719","","","","","","","5","5","5","12.197","12.197","12.197","","","","","","","","","","","",""
"57768","","","","","","","5","5","5","12.545","12.545","12.545","","","","","","","","","","","",""
"58039","","","","","","","5","5","5","12.337","12.337","12.337","","","","","","","","","","","",""
"58120","","","","","","","5","5","5","12.546","12.546","12.546","","","","","","","","","","","",""
"58341","5","5","5","12.123","12.123","12.123","","","","","","","","","","","","","","","","","",""
"58343","","","","","","","5","5","5","12.751","12.751","12.751","","","","","","","","","","","",""
"58522","","","","","","","5","5","5","12.9","12.9","12.9","","","","","","","","","","","",""
"58567","5","5","5","12.362","12.362","12.362","","","","","","","","","","","","","","","","","",""
"58829","","","","","","","","","","","","","5","5","5","12.11","12.11","12.11","","","","","",""
"58987","","","","","","","5","5","5","12.608","12.608","12.608","","","","","","","","","","","",""
"59347","","","","","","","","","","","","","","","","","","","5","5","5","12.7","12.7","12.7"
"62292","","","","","","","","","","","","","","","","","","","5","5","5","12.375","12.375","12.375"
"65666","","","","","","","6","6","6","13.109","13.109","13.109","","","","","","","","","","","",""
"66872","","","","","","","","","","","","","6","6","6","12.715","12.715","12.715","","","","","",""
"67246","","","","","","","","","","","","","6","6","6","12.561","12.561","12.561","","","","","",""
"67538","","","","","","","6","6","6","12.384","12.384","12.384","","","","","","","","","","","",""
"67703","","","","","","","6","6","6","12.437","12.437","12.437","","","","","","","","","","","",""
"67726","","","","","","","","","","","","","","","","","","","6","6","6","12.311","12.311","12.311"
"68106","","","","","","","6","6","6","13.028","13.028","13.028","","","","","","","","","","","",""
"68121","","","","","","","6","6","6","12.67","12.67","12.67","","","","","","","","","","","",""
"68211","","","","","","","6","6","6","13.058","13.058","13.058","","","","","","","","","","","",""
"68228","6","6","6","12.674","12.674","12.674","","","","","","","","","","","","","","","","","",""
"68573","","","","","","","6","6","6","13.106","13.106","13.106","","","","","","","","","","","",""
"68760","","","","","","","","","","","","","6","6","6","12.929","12.929","12.929","","","","","",""
"68782","","","","","","","6","6","6","13.147","13.147","13.147","","","","","","","","","","","",""
"69461","","","","","","","","","","","","","","","","","","","6","6","6","12.769","12.769","12.769"
"70175","6","6","6","13.383","13.383","13.383","","","","","","","","","","","","","","","","","",""
"70960","6","6","6","13.039","13.039","13.039","","","","","","","","","","","","","","","","","",""
"73236","","","","","","","","","","","","","","","","","","","6","6","6","12.526","12.526","12.526"
"75806","","","","","","","7","7","7","12.864","12.864","12.864","","","","","","","","","","","",""
"76798","","","","","","","","","","","","","7","7","7","13.245","13.245","13.245","","","","","",""
"77471","","","","","","","7","7","7","13.135","13.135","13.135","","","","","","","","","","","",""
"77492","","","","","","","","","","","","","","","","","","","7","7","7","12.919","12.919","12.919"
"77500","","","","","","","","","","","","","7","7","7","13.312","13.312","13.312","","","","","",""
"77772","","","","","","","7","7","7","12.917","12.917","12.917","","","","","","","","","","","",""
"78164","","","","","","","7","7","7","12.938","12.938","12.938","","","","","","","","","","","",""
"78209","","","","","","","7","7","7","12.923","12.923","12.923","","","","","","","","","","","",""
"78333","","","","","","","7","7","7","13.014","13.014","13.014","","","","","","","","","","","",""
"78416","","","","","","","7","7","7","12.988","12.988","12.988","","","","","","","","","","","",""
"78719","","","","","","","7","7","7","13.06","13.06","13.06","","","","","","","","","","","",""
"78842","","","","","","","","","","","","","7","7","7","13.002","13.002","13.002","","","","","",""
"79604","","","","","","","","","","","","","","","","","","","7","7","7","13.132","13.132","13.132"
"81089","7","7","7","13.846","13.846","13.846","","","","","","","","","","","","","","","","","",""
"82795","7","7","7","13.338","13.338","13.338","","","","","","","","","","","","","","","","","",""
"83753","","","","","","","","","","","","","","","","","","","7","7","7","12.517","12.517","12.517"
"84393","7","7","7","13.949","13.949","13.949","","","","","","","","","","","","","","","","","",""
"85314","","","","","","","8","8","8","12.837","12.837","12.837","","","","","","","","","","","",""
"86711","","","","","","","","","","","","","8","8","8","12.827","12.827","12.827","","","","","",""
"87329","","","","","","","","","","","","","8","8","8","12.916","12.916","12.916","","","","","",""
"87439","","","","","","","","","","","","","","","","","","","8","8","8","12.925","12.925","12.925"
"87495","","","","","","","8","8","8","13.303","13.303","13.303","","","","","","","","","","","",""
"88194","","","","","","","8","8","8","12.996","12.996","12.996","","","","","","","","","","","",""
"88236","","","","","","","8","8","8","13.654","13.654","13.654","","","","","","","","","","","",""
"88379","","","","","","","8","8","8","13.451","13.451","13.451","","","","","","","","","","","",""
"88404","","","","","","","8","8","8","13.66","13.66","13.66","","","","","","","","","","","",""
"88794","","","","","","","8","8","8","13.236","13.236","13.236","","","","","","","","","","","",""
"88828","","","","","","","8","8","8","13.113","13.113","13.113","","","","","","","","","","","",""
"89036","","","","","","","","","","","","","8","8","8","13.13","13.13","13.13","","","","","",""
"90067","","","","","","","","","","","","","","","","","","","8","8","8","13.71","13.71","13.71"
"93873","8","8","8","14.276","14.276","14.276","","","","","","","","","","","","","","","","","",""
"94455","","","","","","","","","","","","","","","","","","","8","8","8","13.403","13.403","13.403"
"94859","","","","","","","9","9","9","13.52","13.52","13.52","","","","","","","","","","","",""
"95792","8","8","8","13.953","13.953","13.953","","","","","","","","","","","","","","","","","",""
"96753","","","","","","","","","","","","","9","9","9","13.644","13.644","13.644","","","","","",""
"97801","","","","","","","","","","","","","","","","","","","9","9","9","13.275","13.275","13.275"
"97834","","","","","","","","","","","","","9","9","9","13.011","13.011","13.011","","","","","",""
"97918","","","","","","","9","9","9","13.357","13.357","13.357","","","","","","","","","","","",""
"97957","8","8","8","14.044","14.044","14.044","","","","","","","","","","","","","","","","","",""
"98314","","","","","","","9","9","9","13.393","13.393","13.393","","","","","","","","","","","",""
"98358","","","","","","","9","9","9","13.339","13.339","13.339","","","","","","","","","","","",""
"98640","","","","","","","9","9","9","13.317","13.317","13.317","","","","","","","","","","","",""
"98710","","","","","","","9","9","9","13.463","13.463","13.463","","","","","","","","","","","",""
"99015","","","","","","","9","9","9","13.788","13.788","13.788","","","","","","","","","","","",""
"99070","","","","","","","9","9","9","13.179","13.179","13.179","","","","","","","","","","","",""
"99241","","","","","","","","","","","","","9","9","9","13.279","13.279","13.279","","","","","",""
"100530","","","","","","","","","","","","","","","","","","","9","9","9","13.391","13.391","13.391"
"104301","","","","","","","10","10","10","13.869","13.869","13.869","","","","","","","","","","","",""
"105178","","","","","","","","","","","","","","","","","","","9","9","9","13.399","13.399","13.399"
"106589","9","9","9","14.38","14.38","14.38","","","","","","","","","","","","","","","","","",""
"106933","","","","","","","","","","","","","10","10","10","13.861","13.861","13.861","","","","","",""
"107672","","","","","","","10","10","10","13.905","13.905","13.905","","","","","","","","","","","",""
"107677","","","","","","","","","","","","","10","10","10","13.668","13.668","13.668","","","","","",""
"108115","","","","","","","10","10","10","13.468","13.468","13.468","","","","","","","","","","","",""
"108116","","","","","","","","","","","","","","","","","","","10","10","10","13.864","13.864","13.864"
"108317","9","9","9","14.355","14.355","14.355","","","","","","","","","","","","","","","","","",""
"108736","","","","","","","10","10","10","13.685","13.685","13.685","","","","","","","","","","","",""
"108817","","","","","","","10","10","10","13.881","13.881","13.881","","","","","","","","","","","",""
"108883","","","","","","","10","10","10","14.071","14.071","14.071","","","","","","","","","","","",""
"109390","","","","","","","","","","","","","10","10","10","13.642","13.642","13.642","","","","","",""
"109439","","","","","","","10","10","10","14.269","14.269","14.269","","","","","","","","","","","",""
"109733","","","","","","","10","10","10","13.272","13.272","13.272","","","","","","","","","","","",""
"110419","","","","","","","","","","","","","","","","","","","10","10","10","13.72","13.72","13.72"
"111608","9","9","9","14.258","14.258","14.258","","","","","","","","","","","","","","","","","",""
"113999","","","","","","","11","11","11","13.895","13.895","13.895","","","","","","","","","","","",""
"116768","","","","","","","","","","","","","11","11","11","14.261","14.261","14.261","","","","","",""
"117011","","","","","","","","","","","","","","","","","","","10","10","10","13.285","13.285","13.285"
"117450","","","","","","","11","11","11","13.689","13.689","13.689","","","","","","","","","","","",""
"117840","","","","","","","","","","","","","11","11","11","13.373","13.373","13.373","","","","","",""
"118062","","","","","","","","","","","","","","","","","","","11","11","11","13.78","13.78","13.78"
"118557","","","","","","","11","11","11","14.002","14.002","14.002","","","","","","","","","","","",""
"118618","","","","","","","11","11","11","14.23","14.23","14.23","","","","","","","","","","","",""
"119179","","","","","","","11","11","11","14.479","14.479","14.479","","","","","","","","","","","",""
"119189","","","","","","","11","11","11","13.812","13.812","13.812","","","","","","","","","","","",""
"119584","10","10","10","15.362","15.362","15.362","","","","","","","","","","","","","","","","","",""
"119627","","","","","","","11","11","11","14.138","14.138","14.138","","","","","","","","","","","",""
"119862","","","","","","","","","","","","","11","11","11","13.791","13.791","13.791","","","","","",""
"119881","","","","","","","11","11","11","14.184","14.184","14.184","","","","","","","","","","","",""
"120463","","","","","","","","","","","","","","","","","","","11","11","11","14.043","14.043","14.043"
"121251","10","10","10","14.289","14.289","14.289","","","","","","","","","","","","","","","","","",""
"123536","","","","","","","12","12","12","13.851","13.851","13.851","","","","","","","","","","","",""
"124727","10","10","10","14.253","14.253","14.253","","","","","","","","","","","","","","","","","",""
"126911","","","","","","","","","","","","","12","12","12","14.045","14.045","14.045","","","","","",""
"128046","","","","","","","12","12","12","14.423","14.423","14.423","","","","","","","","","","","",""
"128051","","","","","","","","","","","","","","","","","","","12","12","12","13.648","13.648","13.648"
"128112","","","","","","","","","","","","","12","12","12","13.435","13.435","13.435","","","","","",""
"128990","","","","","","","","","","","","","","","","","","","11","11","11","14.193","14.193","14.193"
"129292","","","","","","","12","12","12","13.986","13.986","13.986","","","","","","","","","","","",""
"129893","","","","","","","","","","","","","12","12","12","13.851","13.851","13.851","","","","","",""
"130003","","","","","","","12","12","12","13.992","13.992","13.992","","","","","","","","","","","",""
"130346","","","","","","","12","12","12","14.462","14.462","14.462","","","","","","","","","","","",""
"130814","","","","","","","12","12","12","14.577","14.577","14.577","","","","","","","","","","","",""
"130845","","","","","","","","","","","","","","","","","","","12","12","12","14.036","14.036","14.036"
"130951","","","","","","","12","12","12","14.109","14.109","14.109","","","","","","","","","","","",""
"131209","","","","","","","12","12","12","14.148","14.148","14.148","","","","","","","","","","","",""
"133011","11","11","11","16.293","16.293","16.293","","","","","","","","","","","","","","","","","",""
"133421","","","","","","","13","13","13","14.645","14.645","14.645","","","","","","","","","","","",""
"134115","11","11","11","14.796","14.796","14.796","","","","","","","","","","","","","","","","","",""
"136701","","","","","","","","","","","","","13","13","13","14.102","14.102","14.102","","","","","",""
"138337","","","","","","","","","","","","","","","","","","","13","13","13","13.925","13.925","13.925"
"138395","","","","","","","","","","","","","13","13","13","14.026","14.026","14.026","","","","","",""
"138495","11","11","11","15.466","15.466","15.466","","","","","","","","","","","","","","","","","",""
"139961","","","","","","","","","","","","","13","13","13","13.909","13.909","13.909","","","","","",""
"140049","","","","","","","","","","","","","","","","","","","12","12","12","14.36","14.36","14.36"
"140702","","","","","","","13","13","13","14.435","14.435","14.435","","","","","","","","","","","",""
"141119","","","","","","","","","","","","","","","","","","","13","13","13","14.324","14.324","14.324"
"141983","","","","","","","13","13","13","14.548","14.548","14.548","","","","","","","","","","","",""
"142768","","","","","","","14","14","14","14.791","14.791","14.791","","","","","","","","","","","",""
"142835","","","","","","","13","13","13","14.406","14.406","14.406","","","","","","","","","","","",""
"143437","","","","","","","13","13","13","14.755","14.755","14.755","","","","","","","","","","","",""
"143850","","","","","","","13","13","13","14.741","14.741","14.741","","","","","","","","","","","",""
"144155","","","","","","","13","13","13","14.479","14.479","14.479","","","","","","","","","","","",""
"144337","","","","","","","13","13","13","15.007","15.007","15.007","","","","","","","","","","","",""
"146447","12","12","12","15.944","15.944","15.944","","","","","","","","","","","","","","","","","",""
"146454","12","12","12","15.652","15.652","15.652","","","","","","","","","","","","","","","","","",""
"146649","","","","","","","","","","","","","14","14","14","14.484","14.484","14.484","","","","","",""
"148578","","","","","","","","","","","","","","","","","","","14","14","14","14.479","14.479","14.479"
"148812","","","","","","","","","","","","","14","14","14","14.437","14.437","14.437","","","","","",""
"150390","","","","","","","","","","","","","14","14","14","14.467","14.467","14.467","","","","","",""
"151307","","","","","","","","","","","","","","","","","","","14","14","14","14.504","14.504","14.504"
"152026","","","","","","","","","","","","","","","","","","","13","13","13","14.238","14.238","14.238"
"152040","12","12","12","15.365","15.365","15.365","","","","","","","","","","","","","","","","","",""
"152881","","","","","","","15","15","15","14.842","14.842","14.842","","","","","","","","","","","",""
"153993","","","","","","","14","14","14","14.669","14.669","14.669","","","","","","","","","","","",""
"154968","","","","","","","14","14","14","14.796","14.796","14.796","","","","","","","","","","","",""
"155988","","","","","","","14","14","14","14.671","14.671","14.671","","","","","","","","","","","",""
"156307","","","","","","","","","","","","","15","15","15","14.683","14.683","14.683","","","","","",""
"157130","","","","","","","14","14","14","15.246","15.246","15.246","","","","","","","","","","","",""
"157259","","","","","","","14","14","14","15.029","15.029","15.029","","","","","","","","","","","",""
"157277","","","","","","","14","14","14","15.359","15.359","15.359","","","","","","","","","","","",""
"157319","","","","","","","14","14","14","15.013","15.013","15.013","","","","","","","","","","","",""
"159052","","","","","","","","","","","","","","","","","","","15","15","15","14.059","14.059","14.059"
"159129","13","13","13","16.049","16.049","16.049","","","","","","","","","","","","","","","","","",""
"159402","","","","","","","","","","","","","15","15","15","14.569","14.569","14.569","","","","","",""
"159781","13","13","13","16.333","16.333","16.333","","","","","","","","","","","","","","","","","",""
"160198","","","","","","","","","","","","","15","15","15","14.754","14.754","14.754","","","","","",""
"161825","","","","","","","","","","","","","","","","","","","15","15","15","14.612","14.612","14.612"
"162458","","","","","","","16","16","16","15.178","15.178","15.178","","","","","","","","","","","",""
"163289","","","","","","","","","","","","","","","","","","","14","14","14","14.378","14.378","14.378"
"165731","","","","","","","","","","","","","16","16","16","15.068","15.068","15.068","","","","","",""
"166029","13","13","13","16.32","16.32","16.32","","","","","","","","","","","","","","","","","",""
"167084","","","","","","","15","15","15","15.067","15.067","15.067","","","","","","","","","","","",""
"168202","","","","","","","15","15","15","15.447","15.447","15.447","","","","","","","","","","","",""
"168767","","","","","","","","","","","","","","","","","","","16","16","16","14.743","14.743","14.743"
"169247","","","","","","","15","15","15","15.184","15.184","15.184","","","","","","","","","","","",""
"169951","","","","","","","","","","","","","16","16","16","14.608","14.608","14.608","","","","","",""
"170129","","","","","","","15","15","15","15.036","15.036","15.036","","","","","","","","","","","",""
"170353","","","","","","","","","","","","","16","16","16","14.797","14.797","14.797","","","","","",""
"170491","","","","","","","15","15","15","15.488","15.488","15.488","","","","","","","","","","","",""
"170621","","","","","","","15","15","15","15.036","15.036","15.036","","","","","","","","","","","",""
"170655","","","","","","","15","15","15","15.057","15.057","15.057","","","","","","","","","","","",""
"171853","","","","","","","","","","","","","","","","","","","16","16","16","14.813","14.813","14.813"
"172251","14","14","14","16.493","16.493","16.493","","","","","","","","","","","","","","","","","",""
"172285","","","","","","","17","17","17","15.838","15.838","15.838","","","","","","","","","","","",""
"173016","14","14","14","16.549","16.549","16.549","","","","","","","","","","","","","","","","","",""
"174933","","","","","","","","","","","","","","","","","","","15","15","15","14.184","14.184","14.184"
"175274","","","","","","","","","","","","","17","17","17","15.245","15.245","15.245","","","","","",""
"178839","","","","","","","","","","","","","","","","","","","17","17","17","14.992","14.992","14.992"
"179958","","","","","","","","","","","","","17","17","17","14.506","14.506","14.506","","","","","",""
"179961","14","14","14","16.739","16.739","16.739","","","","","","","","","","","","","","","","","",""
"180208","","","","","","","16","16","16","15.201","15.201","15.201","","","","","","","","","","","",""
"180473","","","","","","","","","","","","","17","17","17","15.028","15.028","15.028","","","","","",""
"181723","","","","","","","","","","","","","","","","","","","17","17","17","14.972","14.972","14.972"
"181902","","","","","","","16","16","16","15.604","15.604","15.604","","","","","","","","","","","",""
"182047","","","","","","","18","18","18","16.113","16.113","16.113","","","","","","","","","","","",""
"182341","","","","","","","16","16","16","15.243","15.243","15.243","","","","","","","","","","","",""
"182796","","","","","","","16","16","16","15.676","15.676","15.676","","","","","","","","","","","",""
"183976","","","","","","","16","16","16","15.238","15.238","15.238","","","","","","","","","","","",""
"184288","","","","","","","16","16","16","15.599","15.599","15.599","","","","","","","","","","","",""
"184319","","","","","","","16","16","16","16.456","16.456","16.456","","","","","","","","","","","",""
"184869","","","","","","","","","","","","","18","18","18","15.304","15.304","15.304","","","","","",""
"185406","15","15","15","16.903","16.903","16.903","","","","","","","","","","","","","","","","","",""
"186031","15","15","15","17.509","17.509","17.509","","","","","","","","","","","","","","","","","",""
"186683","","","","","","","","","","","","","","","","","","","16","16","16","14.65","14.65","14.65"
"189442","","","","","","","","","","","","","","","","","","","18","18","18","14.569","14.569","14.569"
"191041","","","","","","","","","","","","","18","18","18","15.484","15.484","15.484","","","","","",""
"191276","","","","","","","","","","","","","18","18","18","15.358","15.358","15.358","","","","","",""
"191625","","","","","","","19","19","19","16.171","16.171","16.171","","","","","","","","","","","",""
"191969","","","","","","","","","","","","","","","","","","","18","18","18","15.605","15.605","15.605"
"193212","","","","","","","17","17","17","15.628","15.628","15.628","","","","","","","","","","","",""
"194120","15","15","15","17.152","17.152","17.152","","","","","","","","","","","","","","","","","",""
"195049","","","","","","","17","17","17","15.874","15.874","15.874","","","","","","","","","","","",""
"195390","","","","","","","17","17","17","15.283","15.283","15.283","","","","","","","","","","","",""
"196157","","","","","","","","","","","","","19","19","19","15.724","15.724","15.724","","","","","",""
"196252","","","","","","","17","17","17","15.873","15.873","15.873","","","","","","","","","","","",""
"196973","","","","","","","17","17","17","15.474","15.474","15.474","","","","","","","","","","","",""
"197322","","","","","","","17","17","17","16.009","16.009","16.009","","","","","","","","","","","",""
"197861","","","","","","","17","17","17","16.232","16.232","16.232","","","","","","","","","","","",""
"198137","16","16","16","16.986","16.986","16.986","","","","","","","","","","","","","","","","","",""
"198481","","","","","","","","","","","","","","","","","","","17","17","17","14.608","14.608","14.608"
"199257","16","16","16","17.082","17.082","17.082","","","","","","","","","","","","","","","","","",""
"199591","","","","","","","","","","","","","","","","","","","19","19","19","14.758","14.758","14.758"
"201597","","","","","","","20","20","20","16.318","16.318","16.318","","","","","","","","","","","",""
"201925","","","","","","","","","","","","","","","","","","","19","19","19","15.398","15.398","15.398"
"204096","","","","","","","","","","","","","19","19","19","16.163","16.163","16.163","","","","","",""
"204389","","","","","","","","","","","","","19","19","19","15.698","15.698","15.698","","","","","",""
"206472","","","","","","","18","18","18","16.156","16.156","16.156","","","","","","","","","","","",""
"208010","","","","","","","","","","","","","20","20","20","15.823","15.823","15.823","","","","","",""
"208095","16","16","16","17.505","17.505","17.505","","","","","","","","","","","","","","","","","",""
