"num_samples","replay_buffer_size: 50000 (Replay size: partner IQL) - _step","replay_buffer_size: 50000 (Replay size: partner IQL) - _step__MIN","replay_buffer_size: 50000 (Replay size: partner IQL) - _step__MAX","replay_buffer_size: 50000 (Replay size: partner IQL) - perfect","replay_buffer_size: 50000 (Replay size: partner IQL) - perfect__MIN","replay_buffer_size: 50000 (Replay size: partner IQL) - perfect__MAX","replay_buffer_size: 100000 (Replay size: partner IQL) - _step","replay_buffer_size: 100000 (Replay size: partner IQL) - _step__MIN","replay_buffer_size: 100000 (Replay size: partner IQL) - _step__MAX","replay_buffer_size: 100000 (Replay size: partner IQL) - perfect","replay_buffer_size: 100000 (Replay size: partner IQL) - perfect__MIN","replay_buffer_size: 100000 (Replay size: partner IQL) - perfect__MAX","replay_buffer_size: 150000 (Replay size: partner IQL) - _step","replay_buffer_size: 150000 (Replay size: partner IQL) - _step__MIN","replay_buffer_size: 150000 (Replay size: partner IQL) - _step__MAX","replay_buffer_size: 150000 (Replay size: partner IQL) - perfect","replay_buffer_size: 150000 (Replay size: partner IQL) - perfect__MIN","replay_buffer_size: 150000 (Replay size: partner IQL) - perfect__MAX","replay_buffer_size: 200000 (Replay size: partner IQL) - _step","replay_buffer_size: 200000 (Replay size: partner IQL) - _step__MIN","replay_buffer_size: 200000 (Replay size: partner IQL) - _step__MAX","replay_buffer_size: 200000 (Replay size: partner IQL) - perfect","replay_buffer_size: 200000 (Replay size: partner IQL) - perfect__MIN","replay_buffer_size: 200000 (Replay size: partner IQL) - perfect__MAX"
"55824","","","","","","","","","","","","","","","","","","","4","4","4","2.1","2.1","2.1"
"56038","","","","","","","4","4","4","2.6","2.6","2.6","","","","","","","","","","","",""
"56077","4","4","4","2.6","2.6","2.6","","","","","","","","","","","","","","","","","",""
"56632","","","","","","","4","4","4","2.5","2.5","2.5","","","","","","","","","","","",""
"57231","","","","","","","","","","","","","4","4","4","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","",""
"57401","","","","","","","","","","","","","4","4","4","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","",""
"57414","5","5","5","2.5","2.5","2.5","","","","","","","","","","","","","","","","","",""
"57595","","","","","","","4","4","4","1.7999999999999998","1.7999999999999998","1.7999999999999998","","","","","","","","","","","",""
"57863","","","","","","","4","4","4","2.8000000000000003","2.8000000000000003","2.8000000000000003","","","","","","","","","","","",""
"59253","","","","","","","","","","","","","","","","","","","5","5","5","2.3","2.3","2.3"
"61153","","","","","","","5","5","5","2.1","2.1","2.1","","","","","","","","","","","",""
"62514","","","","","","","","","","","","","","","","","","","5","5","5","2.8000000000000003","2.8000000000000003","2.8000000000000003"
"63401","5","5","5","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","","","","","","","",""
"63472","5","5","5","3.1","3.1","3.1","","","","","","","","","","","","","","","","","",""
"63850","","","","","","","","","","","","","","","","","","","5","5","5","2.8000000000000003","2.8000000000000003","2.8000000000000003"
"64642","","","","","","","","","","","","","","","","","","","5","5","5","2.3","2.3","2.3"
"65255","5","5","5","4.8","4.8","4.8","","","","","","","","","","","","","","","","","",""
"65826","","","","","","","","","","","","","5","5","5","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","",""
"66498","","","","","","","5","5","5","3.1","3.1","3.1","","","","","","","","","","","",""
"66886","5","5","5","3","3","3","","","","","","","","","","","","","","","","","",""
"66934","","","","","","","","","","","","","","","","","","","5","5","5","2.3","2.3","2.3"
"67003","","","","","","","5","5","5","3.5000000000000004","3.5000000000000004","3.5000000000000004","","","","","","","","","","","",""
"67283","","","","","","","5","5","5","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","",""
"67315","","","","","","","5","5","5","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","",""
"67573","","","","","","","","","","","","","","","","","","","5","5","5","3.4000000000000004","3.4000000000000004","3.4000000000000004"
"67755","","","","","","","5","5","5","2.5","2.5","2.5","","","","","","","","","","","",""
"68245","6","6","6","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","","","","","","","",""
"68471","5","5","5","3.5000000000000004","3.5000000000000004","3.5000000000000004","","","","","","","","","","","","","","","","","",""
"68671","","","","","","","5","5","5","3.2","3.2","3.2","","","","","","","","","","","",""
"69180","","","","","","","","","","","","","","","","","","","6","6","6","2.7","2.7","2.7"
"69315","","","","","","","","","","","","","5","5","5","3.4000000000000004","3.4000000000000004","3.4000000000000004","","","","","",""
"69339","","","","","","","5","5","5","2.7","2.7","2.7","","","","","","","","","","","",""
"69428","","","","","","","","","","","","","5","5","5","2.1","2.1","2.1","","","","","",""
"69985","","","","","","","5","5","5","2.8000000000000003","2.8000000000000003","2.8000000000000003","","","","","","","","","","","",""
"71407","","","","","","","6","6","6","2.6","2.6","2.6","","","","","","","","","","","",""
"72949","","","","","","","","","","","","","","","","","","","6","6","6","3.1","3.1","3.1"
"74428","6","6","6","4.3999999999999995","4.3999999999999995","4.3999999999999995","","","","","","","","","","","","","","","","","",""
"74683","","","","","","","","","","","","","","","","","","","6","6","6","3.2","3.2","3.2"
"75597","","","","","","","","","","","","","","","","","","","6","6","6","2.3","2.3","2.3"
"76481","6","6","6","5.3","5.3","5.3","","","","","","","","","","","","","","","","","",""
"76536","6","6","6","5.3","5.3","5.3","","","","","","","","","","","","","","","","","",""
"77266","","","","","","","","","","","","","6","6","6","3.8","3.8","3.8","","","","","",""
"77917","","","","","","","6","6","6","3","3","3","","","","","","","","","","","",""
"78479","","","","","","","","","","","","","","","","","","","6","6","6","3","3","3"
"78935","","","","","","","6","6","6","3.4000000000000004","3.4000000000000004","3.4000000000000004","","","","","","","","","","","",""
"78984","","","","","","","6","6","6","3.4000000000000004","3.4000000000000004","3.4000000000000004","","","","","","","","","","","",""
"79032","","","","","","","6","6","6","3.5999999999999996","3.5999999999999996","3.5999999999999996","","","","","","","","","","","",""
"79090","","","","","","","","","","","","","","","","","","","6","6","6","3.1","3.1","3.1"
"79221","","","","","","","","","","","","","","","","","","","7","7","7","3.3000000000000003","3.3000000000000003","3.3000000000000003"
"79555","","","","","","","6","6","6","3.5000000000000004","3.5000000000000004","3.5000000000000004","","","","","","","","","","","",""
"80312","7","7","7","4.3999999999999995","4.3999999999999995","4.3999999999999995","","","","","","","","","","","","","","","","","",""
"80863","","","","","","","6","6","6","3","3","3","","","","","","","","","","","",""
"81110","","","","","","","","","","","","","6","6","6","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","",""
"81305","","","","","","","","","","","","","6","6","6","3.4000000000000004","3.4000000000000004","3.4000000000000004","","","","","",""
"81455","","","","","","","6","6","6","3.8","3.8","3.8","","","","","","","","","","","",""
"81484","6","6","6","4.3","4.3","4.3","","","","","","","","","","","","","","","","","",""
"81692","","","","","","","6","6","6","3.2","3.2","3.2","","","","","","","","","","","",""
"81757","","","","","","","7","7","7","3","3","3","","","","","","","","","","","",""
"83085","6","6","6","4.3999999999999995","4.3999999999999995","4.3999999999999995","","","","","","","","","","","","","","","","","",""
"83355","","","","","","","","","","","","","","","","","","","7","7","7","3","3","3"
"85410","7","7","7","4.9","4.9","4.9","","","","","","","","","","","","","","","","","",""
"85438","","","","","","","","","","","","","","","","","","","7","7","7","4.7","4.7","4.7"
"87055","","","","","","","","","","","","","","","","","","","7","7","7","3.9","3.9","3.9"
"87620","7","7","7","4.3","4.3","4.3","","","","","","","","","","","","","","","","","",""
"88831","","","","","","","","","","","","","7","7","7","3.6999999999999997","3.6999999999999997","3.6999999999999997","","","","","",""
"89175","","","","","","","","","","","","","","","","","","","8","8","8","3.5000000000000004","3.5000000000000004","3.5000000000000004"
"89410","","","","","","","7","7","7","3","3","3","","","","","","","","","","","",""
"89724","7","7","7","4.3999999999999995","4.3999999999999995","4.3999999999999995","","","","","","","","","","","","","","","","","",""
"90310","","","","","","","","","","","","","","","","","","","7","7","7","3.2","3.2","3.2"
"90684","","","","","","","7","7","7","3.1","3.1","3.1","","","","","","","","","","","",""
"90766","","","","","","","7","7","7","2.3","2.3","2.3","","","","","","","","","","","",""
"90881","","","","","","","","","","","","","","","","","","","7","7","7","2.7","2.7","2.7"
"91019","","","","","","","7","7","7","3.8","3.8","3.8","","","","","","","","","","","",""
"91403","","","","","","","7","7","7","2.5","2.5","2.5","","","","","","","","","","","",""
"92277","8","8","8","6.3","6.3","6.3","","","","","","","","","","","","","","","","","",""
"92405","","","","","","","8","8","8","3.5000000000000004","3.5000000000000004","3.5000000000000004","","","","","","","","","","","",""
"92557","","","","","","","7","7","7","2.6","2.6","2.6","","","","","","","","","","","",""
"92811","","","","","","","","","","","","","7","7","7","2.7","2.7","2.7","","","","","",""
"92995","","","","","","","","","","","","","7","7","7","2.8000000000000003","2.8000000000000003","2.8000000000000003","","","","","",""
"93213","","","","","","","7","7","7","3","3","3","","","","","","","","","","","",""
"93587","","","","","","","7","7","7","3.5000000000000004","3.5000000000000004","3.5000000000000004","","","","","","","","","","","",""
"94018","","","","","","","","","","","","","","","","","","","8","8","8","3.9","3.9","3.9"
"95970","8","8","8","6.3","6.3","6.3","","","","","","","","","","","","","","","","","",""
"96060","7","7","7","4.5","4.5","4.5","","","","","","","","","","","","","","","","","",""
"96197","","","","","","","","","","","","","","","","","","","8","8","8","3.3000000000000003","3.3000000000000003","3.3000000000000003"
"97566","7","7","7","4.8","4.8","4.8","","","","","","","","","","","","","","","","","",""
"98036","","","","","","","","","","","","","","","","","","","8","8","8","3.4000000000000004","3.4000000000000004","3.4000000000000004"
"98574","8","8","8","7.000000000000001","7.000000000000001","7.000000000000001","","","","","","","","","","","","","","","","","",""
"99174","","","","","","","","","","","","","","","","","","","9","9","9","3","3","3"
"100324","","","","","","","","","","","","","8","8","8","4","4","4","","","","","",""
"101203","","","","","","","8","8","8","2.7","2.7","2.7","","","","","","","","","","","",""
"102156","","","","","","","","","","","","","","","","","","","8","8","8","3.4000000000000004","3.4000000000000004","3.4000000000000004"
"102361","","","","","","","8","8","8","3.9","3.9","3.9","","","","","","","","","","","",""
"102719","","","","","","","9","9","9","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","",""
"102744","8","8","8","7.000000000000001","7.000000000000001","7.000000000000001","","","","","","","","","","","","","","","","","",""
"102782","","","","","","","8","8","8","4.2","4.2","4.2","","","","","","","","","","","",""
"102810","","","","","","","","","","","","","","","","","","","8","8","8","4.1000000000000005","4.1000000000000005","4.1000000000000005"
"103082","","","","","","","8","8","8","3.8","3.8","3.8","","","","","","","","","","","",""
"103482","","","","","","","8","8","8","4.5","4.5","4.5","","","","","","","","","","","",""
"104090","","","","","","","","","","","","","","","","","","","9","9","9","3.6999999999999997","3.6999999999999997","3.6999999999999997"
"104105","9","9","9","6.4","6.4","6.4","","","","","","","","","","","","","","","","","",""
"104467","","","","","","","","","","","","","8","8","8","3.4000000000000004","3.4000000000000004","3.4000000000000004","","","","","",""
"104662","","","","","","","8","8","8","4.1000000000000005","4.1000000000000005","4.1000000000000005","","","","","","","","","","","",""
"104671","","","","","","","","","","","","","8","8","8","3.5999999999999996","3.5999999999999996","3.5999999999999996","","","","","",""
"105271","","","","","","","8","8","8","3.5999999999999996","3.5999999999999996","3.5999999999999996","","","","","","","","","","","",""
"105295","","","","","","","8","8","8","3.5999999999999996","3.5999999999999996","3.5999999999999996","","","","","","","","","","","",""
"106684","9","9","9","7.000000000000001","7.000000000000001","7.000000000000001","","","","","","","","","","","","","","","","","",""
"107420","","","","","","","","","","","","","","","","","","","9","9","9","3.5000000000000004","3.5000000000000004","3.5000000000000004"
"109070","","","","","","","","","","","","","","","","","","","9","9","9","3.4000000000000004","3.4000000000000004","3.4000000000000004"
"109239","","","","","","","","","","","","","","","","","","","10","10","10","3.1","3.1","3.1"
"109406","9","9","9","7.000000000000001","7.000000000000001","7.000000000000001","","","","","","","","","","","","","","","","","",""
"110081","8","8","8","5.8999999999999995","5.8999999999999995","5.8999999999999995","","","","","","","","","","","","","","","","","",""
"111625","","","","","","","","","","","","","9","9","9","5","5","5","","","","","",""
"112184","8","8","8","6.1","6.1","6.1","","","","","","","","","","","","","","","","","",""
"113093","","","","","","","9","9","9","4.9","4.9","4.9","","","","","","","","","","","",""
"113813","","","","","","","10","10","10","4.6","4.6","4.6","","","","","","","","","","","",""
"113951","","","","","","","","","","","","","","","","","","","9","9","9","3.5999999999999996","3.5999999999999996","3.5999999999999996"
"114185","","","","","","","9","9","9","4.6","4.6","4.6","","","","","","","","","","","",""
"114253","","","","","","","9","9","9","4.9","4.9","4.9","","","","","","","","","","","",""
"114779","","","","","","","","","","","","","","","","","","","10","10","10","3.6999999999999997","3.6999999999999997","3.6999999999999997"
"114984","","","","","","","","","","","","","","","","","","","9","9","9","4.5","4.5","4.5"
"115005","","","","","","","9","9","9","4.5","4.5","4.5","","","","","","","","","","","",""
"115199","","","","","","","9","9","9","3.9","3.9","3.9","","","","","","","","","","","",""
"116154","10","10","10","6.800000000000001","6.800000000000001","6.800000000000001","","","","","","","","","","","","","","","","","",""
"116227","9","9","9","6.6000000000000005","6.6000000000000005","6.6000000000000005","","","","","","","","","","","","","","","","","",""
"116590","","","","","","","","","","","","","9","9","9","2.7","2.7","2.7","","","","","",""
"116713","","","","","","","","","","","","","9","9","9","3.5000000000000004","3.5000000000000004","3.5000000000000004","","","","","",""
"116984","","","","","","","9","9","9","3.9","3.9","3.9","","","","","","","","","","","",""
"117050","","","","","","","9","9","9","4.2","4.2","4.2","","","","","","","","","","","",""
"117431","10","10","10","5.7","5.7","5.7","","","","","","","","","","","","","","","","","",""
"117605","","","","","","","9","9","9","4.9","4.9","4.9","","","","","","","","","","","",""
"118372","","","","","","","","","","","","","","","","","","","10","10","10","3.5000000000000004","3.5000000000000004","3.5000000000000004"
"119131","","","","","","","","","","","","","","","","","","","11","11","11","4.3999999999999995","4.3999999999999995","4.3999999999999995"
"120031","","","","","","","","","","","","","","","","","","","10","10","10","3.5999999999999996","3.5999999999999996","3.5999999999999996"
"120142","10","10","10","6.2","6.2","6.2","","","","","","","","","","","","","","","","","",""
"122861","","","","","","","","","","","","","10","10","10","3.6999999999999997","3.6999999999999997","3.6999999999999997","","","","","",""
"123844","","","","","","","11","11","11","6","6","6","","","","","","","","","","","",""
"124576","","","","","","","10","10","10","4.3999999999999995","4.3999999999999995","4.3999999999999995","","","","","","","","","","","",""
"124655","9","9","9","6.800000000000001","6.800000000000001","6.800000000000001","","","","","","","","","","","","","","","","","",""
"125366","","","","","","","","","","","","","","","","","","","10","10","10","3.9","3.9","3.9"
"125636","","","","","","","10","10","10","4.2","4.2","4.2","","","","","","","","","","","",""
"125770","","","","","","","","","","","","","","","","","","","11","11","11","4.7","4.7","4.7"
"126210","","","","","","","10","10","10","5.8999999999999995","5.8999999999999995","5.8999999999999995","","","","","","","","","","","",""
"126610","","","","","","","","","","","","","","","","","","","10","10","10","5.2","5.2","5.2"
"126700","","","","","","","10","10","10","5.1","5.1","5.1","","","","","","","","","","","",""
"127014","9","9","9","7.1","7.1","7.1","","","","","","","","","","","","","","","","","",""
"127689","","","","","","","10","10","10","4.1000000000000005","4.1000000000000005","4.1000000000000005","","","","","","","","","","","",""
"127970","11","11","11","7.9","7.9","7.9","","","","","","","","","","","","","","","","","",""
"128106","11","11","11","7.1","7.1","7.1","","","","","","","","","","","","","","","","","",""
"128511","","","","","","","","","","","","","10","10","10","3.8","3.8","3.8","","","","","",""
"128921","","","","","","","","","","","","","10","10","10","3.9","3.9","3.9","","","","","",""
"129096","","","","","","","","","","","","","","","","","","","12","12","12","3.9","3.9","3.9"
"129259","","","","","","","","","","","","","","","","","","","11","11","11","3.3000000000000003","3.3000000000000003","3.3000000000000003"
"129493","","","","","","","10","10","10","5.1","5.1","5.1","","","","","","","","","","","",""
"129498","10","10","10","7.5","7.5","7.5","","","","","","","","","","","","","","","","","",""
"129689","","","","","","","10","10","10","4.7","4.7","4.7","","","","","","","","","","","",""
"130435","","","","","","","10","10","10","4.3","4.3","4.3","","","","","","","","","","","",""
"131084","","","","","","","","","","","","","","","","","","","11","11","11","5","5","5"
"131112","11","11","11","8.3","8.3","8.3","","","","","","","","","","","","","","","","","",""
"133423","","","","","","","12","12","12","6.1","6.1","6.1","","","","","","","","","","","",""
"134017","","","","","","","","","","","","","11","11","11","4.1000000000000005","4.1000000000000005","4.1000000000000005","","","","","",""
"135977","","","","","","","","","","","","","","","","","","","12","12","12","5.7","5.7","5.7"
"137100","","","","","","","","","","","","","","","","","","","11","11","11","4.3999999999999995","4.3999999999999995","4.3999999999999995"
"138427","12","12","12","9.6","9.6","9.6","","","","","","","","","","","","","","","","","",""
"138616","","","","","","","","","","","","","","","","","","","11","11","11","4.6","4.6","4.6"
"138761","","","","","","","11","11","11","5.5","5.5","5.5","","","","","","","","","","","",""
"138766","10","10","10","7.199999999999999","7.199999999999999","7.199999999999999","","","","","","","","","","","","","","","","","",""
"139125","","","","","","","","","","","","","","","","","","","13","13","13","3.5000000000000004","3.5000000000000004","3.5000000000000004"
"139701","12","12","12","7.9","7.9","7.9","","","","","","","","","","","","","","","","","",""
"140159","","","","","","","11","11","11","4.7","4.7","4.7","","","","","","","","","","","",""
"140394","","","","","","","","","","","","","11","11","11","4.6","4.6","4.6","","","","","",""
"140585","","","","","","","","","","","","","","","","","","","12","12","12","4.6","4.6","4.6"
"140779","","","","","","","11","11","11","5.7","5.7","5.7","","","","","","","","","","","",""
"141064","","","","","","","","","","","","","11","11","11","4.1000000000000005","4.1000000000000005","4.1000000000000005","","","","","",""
"141206","","","","","","","11","11","11","6.4","6.4","6.4","","","","","","","","","","","",""
"141433","12","12","12","7.6","7.6","7.6","","","","","","","","","","","","","","","","","",""
"141488","","","","","","","11","11","11","6.3","6.3","6.3","","","","","","","","","","","",""
"141806","","","","","","","","","","","","","","","","","","","12","12","12","3.6999999999999997","3.6999999999999997","3.6999999999999997"
"141875","10","10","10","8.200000000000001","8.200000000000001","8.200000000000001","","","","","","","","","","","","","","","","","",""
"142478","","","","","","","11","11","11","5.7","5.7","5.7","","","","","","","","","","","",""
"142540","11","11","11","8.4","8.4","8.4","","","","","","","","","","","","","","","","","",""
