"num_samples","batchsize: 8 (Batchsize: partner: IQL) - _step","batchsize: 8 (Batchsize: partner: IQL) - _step__MIN","batchsize: 8 (Batchsize: partner: IQL) - _step__MAX","batchsize: 8 (Batchsize: partner: IQL) - score","batchsize: 8 (Batchsize: partner: IQL) - score__MIN","batchsize: 8 (Batchsize: partner: IQL) - score__MAX","batchsize: 16 (Batchsize: partner: IQL) - _step","batchsize: 16 (Batchsize: partner: IQL) - _step__MIN","batchsize: 16 (Batchsize: partner: IQL) - _step__MAX","batchsize: 16 (Batchsize: partner: IQL) - score","batchsize: 16 (Batchsize: partner: IQL) - score__MIN","batchsize: 16 (Batchsize: partner: IQL) - score__MAX","batchsize: 32 (Batchsize: partner: IQL) - _step","batchsize: 32 (Batchsize: partner: IQL) - _step__MIN","batchsize: 32 (Batchsize: partner: IQL) - _step__MAX","batchsize: 32 (Batchsize: partner: IQL) - score","batchsize: 32 (Batchsize: partner: IQL) - score__MIN","batchsize: 32 (Batchsize: partner: IQL) - score__MAX","batchsize: 64 (Batchsize: partner: IQL) - _step","batchsize: 64 (Batchsize: partner: IQL) - _step__MIN","batchsize: 64 (Batchsize: partner: IQL) - _step__MAX","batchsize: 64 (Batchsize: partner: IQL) - score","batchsize: 64 (Batchsize: partner: IQL) - score__MIN","batchsize: 64 (Batchsize: partner: IQL) - score__MAX","batchsize: 128 (Batchsize: partner: IQL) - _step","batchsize: 128 (Batchsize: partner: IQL) - _step__MIN","batchsize: 128 (Batchsize: partner: IQL) - _step__MAX","batchsize: 128 (Batchsize: partner: IQL) - score","batchsize: 128 (Batchsize: partner: IQL) - score__MIN","batchsize: 128 (Batchsize: partner: IQL) - score__MAX","batchsize: 256 (Batchsize: partner: IQL) - _step","batchsize: 256 (Batchsize: partner: IQL) - _step__MIN","batchsize: 256 (Batchsize: partner: IQL) - _step__MAX","batchsize: 256 (Batchsize: partner: IQL) - score","batchsize: 256 (Batchsize: partner: IQL) - score__MIN","batchsize: 256 (Batchsize: partner: IQL) - score__MAX","batchsize: 512 (Batchsize: partner: IQL) - _step","batchsize: 512 (Batchsize: partner: IQL) - _step__MIN","batchsize: 512 (Batchsize: partner: IQL) - _step__MAX","batchsize: 512 (Batchsize: partner: IQL) - score","batchsize: 512 (Batchsize: partner: IQL) - score__MIN","batchsize: 512 (Batchsize: partner: IQL) - score__MAX","batchsize: 1024 (Batchsize: partner: IQL) - _step","batchsize: 1024 (Batchsize: partner: IQL) - _step__MIN","batchsize: 1024 (Batchsize: partner: IQL) - _step__MAX","batchsize: 1024 (Batchsize: partner: IQL) - score","batchsize: 1024 (Batchsize: partner: IQL) - score__MIN","batchsize: 1024 (Batchsize: partner: IQL) - score__MAX"
"20998","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.669","16.669","16.669","","","","","","","","","","","","","","","","","",""
"21148","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.574","16.574","16.574","","","","","","","","","","","","","","","","","",""
"21189","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.559","16.559","16.559","","","","","","","","","","","","","","","","","",""
"21211","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.239","16.239","16.239","","","","","","","","","","","","","","","","","",""
"21240","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.812","16.812","16.812","","","","","","","","","","","","","","","","","",""
"21256","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.928","16.928","16.928","","","","","","","","","","","","","","","","","",""
"21310","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.132","17.132","17.132","","","","","","","","","","","","","","","","","",""
"21358","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.642","16.642","16.642","","","","","","","","","","","","","","","","","",""
"21463","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.598","16.598","16.598","","","","","","","","","","","","","","","","","",""
"21697","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.455","16.455","16.455","","","","","","","","","","","","","","","","","",""
"21923","2","2","2","15.202","15.202","15.202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21955","2","2","2","15.721","15.721","15.721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22016","","","","","","","2","2","2","16.986","16.986","16.986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22034","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.584","16.584","16.584","","","","","","","","","","","","","","","","","",""
"22061","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.507","16.507","16.507","","","","","","","","","","","","","","","","","",""
"22091","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.731","16.731","16.731","","","","","","","","","","","","","","","","","",""
"22206","2","2","2","15.226","15.226","15.226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22327","","","","","","","2","2","2","16.844","16.844","16.844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23213","","","","","","","2","2","2","16.016","16.016","16.016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23404","","","","","","","2","2","2","16.989","16.989","16.989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24658","","","","","","","2","2","2","16.635","16.635","16.635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25592","3","3","3","17.468","17.468","17.468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25908","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.956","16.956","16.956","","","","","","","","","","","",""
"26150","","","","","","","","","","","","","2","2","2","17.147","17.147","17.147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26349","3","3","3","16.61","16.61","16.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26488","","","","","","","","","","","","","2","2","2","16.269","16.269","16.269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26811","","","","","","","","","","","","","2","2","2","17.185","17.185","17.185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.318","17.318","17.318","","","","","","","","","","","",""
"27139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.365","17.365","17.365","","","","","","","","","","","",""
"27801","3","3","3","16.242","16.242","16.242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28122","","","","","","","3","3","3","17.265","17.265","17.265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28151","","","","","","","","","","","","","","","","","","","2","2","2","17.313","17.313","17.313","","","","","","","","","","","","","","","","","","","","","","","",""
"28240","3","3","3","17.51","17.51","17.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28460","","","","","","","","","","","","","","","","","","","2","2","2","17.429","17.429","17.429","","","","","","","","","","","","","","","","","","","","","","","",""
"28477","3","3","3","17.086","17.086","17.086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28735","","","","","","","3","3","3","17.877","17.877","17.877","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28836","","","","","","","","","","","","","","","","","","","2","2","2","17.86","17.86","17.86","","","","","","","","","","","","","","","","","","","","","","","",""
"30126","","","","","","","3","3","3","17.634","17.634","17.634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30209","","","","","","","3","3","3","17.473","17.473","17.473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30796","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.049","18.049","18.049","","","","","","","","","","","","","","","","","",""
"31016","4","4","4","17.63","17.63","17.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31749","4","4","4","18.057","18.057","18.057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32140","","","","","","","3","3","3","17.878","17.878","17.878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32238","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.066","18.066","18.066","","","","","","","","","","","","","","","","","",""
"32270","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.401","18.401","18.401","","","","","","","","","","","","","","","","","",""
"32429","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.064","18.064","18.064","","","","","","","","","","","","","","","","","",""
"32452","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.085","18.085","18.085","","","","","","","","","","","","","","","","","",""
"32469","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.07","18.07","18.07","","","","","","","","","","","","","","","","","",""
"32472","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","17.957","17.957","17.957","","","","","","","","","","","","","","","","","",""
"32888","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.054","18.054","18.054","","","","","","","","","","","","","","","","","",""
"32901","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.212","18.212","18.212","","","","","","","","","","","","","","","","","",""
"33111","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.101","18.101","18.101","","","","","","","","","","","","","","","","","",""
"33547","4","4","4","17.413","17.413","17.413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33745","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","17.951","17.951","17.951","","","","","","","","","","","","","","","","","",""
"33809","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","17.849","17.849","17.849","","","","","","","","","","","","","","","","","",""
"33994","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","17.882","17.882","17.882","","","","","","","","","","","","","","","","","",""
"34325","","","","","","","","","","","","","3","3","3","18.168","18.168","18.168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34369","","","","","","","4","4","4","18.134","18.134","18.134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34583","4","4","4","17.442","17.442","17.442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34748","","","","","","","4","4","4","18.3","18.3","18.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34782","","","","","","","","","","","","","3","3","3","17.895","17.895","17.895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34889","4","4","4","18.165","18.165","18.165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.796","17.796","17.796","","","","","",""
"35442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","17.971","17.971","17.971","","","","","",""
"35514","","","","","","","","","","","","","3","3","3","18.364","18.364","18.364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36266","5","5","5","17.827","17.827","17.827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36941","","","","","","","4","4","4","18.61","18.61","18.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37071","5","5","5","18.411","18.411","18.411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37206","","","","","","","","","","","","","","","","","","","3","3","3","18.564","18.564","18.564","","","","","","","","","","","","","","","","","","","","","","","",""
"37515","","","","","","","4","4","4","18.5","18.5","18.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37524","","","","","","","","","","","","","","","","","","","3","3","3","18.326","18.326","18.326","","","","","","","","","","","","","","","","","","","","","","","",""
"38005","","","","","","","","","","","","","","","","","","","3","3","3","18.634","18.634","18.634","","","","","","","","","","","","","","","","","","","","","","","",""
"39412","5","5","5","18.74","18.74","18.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39575","","","","","","","4","4","4","18.596","18.596","18.596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.572","18.572","18.572","","","","","","","","","","","",""
"40776","","","","","","","5","5","5","18.84","18.84","18.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40813","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","18.812","18.812","18.812","","","","","","","","","","","","","","","","","",""
"40835","5","5","5","18.452","18.452","18.452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41082","","","","","","","5","5","5","18.661","18.661","18.661","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41245","5","5","5","18.724","18.724","18.724","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41635","6","6","6","18.839","18.839","18.839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42517","6","6","6","18.5","18.5","18.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42621","","","","","","","","","","","","","4","4","4","18.795","18.795","18.795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42702","","","","","","","","","","","","","4","4","4","18.636","18.636","18.636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.75","18.75","18.75","","","","","","","","","","","",""
"43297","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","18.789","18.789","18.789","","","","","","","","","","","","","","","","","",""
"43578","","","","","","","5","5","5","18.75","18.75","18.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.489","18.489","18.489","","","","","","","","","","","",""
"43647","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.276","19.276","19.276","","","","","","","","","","","","","","","","","",""
"43867","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.045","19.045","19.045","","","","","","","","","","","","","","","","","",""
"43885","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.298","19.298","19.298","","","","","","","","","","","","","","","","","",""
"43887","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.13","19.13","19.13","","","","","","","","","","","","","","","","","",""
"43933","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.081","19.081","19.081","","","","","","","","","","","","","","","","","",""
"44248","","","","","","","5","5","5","18.996","18.996","18.996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44288","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","18.94","18.94","18.94","","","","","","","","","","","","","","","","","",""
"44442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","18.104","18.104","18.104","","","","","",""
"44443","","","","","","","","","","","","","4","4","4","18.607","18.607","18.607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44509","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.054","19.054","19.054","","","","","","","","","","","","","","","","","",""
"44797","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.008","19.008","19.008","","","","","","","","","","","","","","","","","",""
"45237","6","6","6","18.756","18.756","18.756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45633","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","18.779","18.779","18.779","","","","","","","","","","","","","","","","","",""
"45720","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.188","19.188","19.188","","","","","","","","","","","","","","","","","",""
"45954","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","18.998","18.998","18.998","","","","","","","","","","","","","","","","","",""
"46673","","","","","","","","","","","","","","","","","","","4","4","4","19.234","19.234","19.234","","","","","","","","","","","","","","","","","","","","","","","",""
"46794","","","","","","","5","5","5","18.6","18.6","18.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46801","6","6","6","18.72","18.72","18.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47006","","","","","","","6","6","6","18.921","18.921","18.921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47095","","","","","","","","","","","","","","","","","","","4","4","4","19.211","19.211","19.211","","","","","","","","","","","","","","","","","","","","","","","",""
"47301","7","7","7","18.676","18.676","18.676","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47360","","","","","","","","","","","","","","","","","","","4","4","4","19.341","19.341","19.341","","","","","","","","","","","","","","","","","","","","","","","",""
"47390","6","6","6","17.883","17.883","17.883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47561","","","","","","","6","6","6","18.848","18.848","18.848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47617","7","7","7","18.962","18.962","18.962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50615","","","","","","","6","6","6","19.165","19.165","19.165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50933","","","","","","","","","","","","","5","5","5","19.108","19.108","19.108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51093","","","","","","","","","","","","","5","5","5","19.229","19.229","19.229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51111","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.287","19.287","19.287","","","","","","","","","","","","","","","","","",""
"51456","","","","","","","6","6","6","19.312","19.312","19.312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51632","7","7","7","18.811","18.811","18.811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52398","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","18.658","18.658","18.658"
"52496","8","8","8","19.021","19.021","19.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52945","8","8","8","19.206","19.206","19.206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53106","7","7","7","18.992","18.992","18.992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53115","","","","","","","7","7","7","19.278","19.278","19.278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.434","19.434","19.434","","","","","","","","","","","",""
"53473","","","","","","","","","","","","","5","5","5","19.402","19.402","19.402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53653","7","7","7","19.289","19.289","19.289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","18.787","18.787","18.787"
"54147","","","","","","","6","6","6","18.991","18.991","18.991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54232","","","","","","","7","7","7","19.298","19.298","19.298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54312","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.482","19.482","19.482","","","","","","","","","","","","","","","","","",""
"55333","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.499","19.499","19.499","","","","","","","","","","","","","","","","","",""
"55335","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.569","19.569","19.569","","","","","","","","","","","","","","","","","",""
"55353","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.344","19.344","19.344","","","","","","","","","","","","","","","","","",""
"55371","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.249","19.249","19.249","","","","","","","","","","","","","","","","","",""
"55590","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.616","19.616","19.616","","","","","","","","","","","","","","","","","",""
"55845","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.339","19.339","19.339","","","","","","","","","","","","","","","","","",""
"56038","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.371","19.371","19.371","","","","","","","","","","","","","","","","","",""
"56217","","","","","","","","","","","","","","","","","","","5","5","5","19.329","19.329","19.329","","","","","","","","","","","","","","","","","","","","","","","",""
"56632","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.138","19.138","19.138","","","","","","","","","","","","","","","","","",""
"56673","","","","","","","","","","","","","","","","","","","5","5","5","19.461","19.461","19.461","","","","","","","","","","","","","","","","","","","","","","","",""
"57128","","","","","","","","","","","","","","","","","","","5","5","5","19.405","19.405","19.405","","","","","","","","","","","","","","","","","","","","","","","",""
"57583","","","","","","","7","7","7","19.317","19.317","19.317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57595","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.333","19.333","19.333","","","","","","","","","","","","","","","","","",""
"57664","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.571","19.571","19.571","","","","","","","","","","","","","","","","","",""
"57696","8","8","8","19.217","19.217","19.217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57727","9","9","9","19.285","19.285","19.285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57863","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.613","19.613","19.613","","","","","","","","","","","","","","","","","",""
"58289","9","9","9","19.368","19.368","19.368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58511","","","","","","","7","7","7","19.411","19.411","19.411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59207","","","","","","","8","8","8","19.497","19.497","19.497","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59277","","","","","","","","","","","","","6","6","6","19.505","19.505","19.505","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
