"num_samples","num_thread: 5 (threads: partner OBL5) - _step","num_thread: 5 (threads: partner OBL5) - _step__MIN","num_thread: 5 (threads: partner OBL5) - _step__MAX","num_thread: 5 (threads: partner OBL5) - score","num_thread: 5 (threads: partner OBL5) - score__MIN","num_thread: 5 (threads: partner OBL5) - score__MAX","num_thread: 10 (threads: partner OBL5) - _step","num_thread: 10 (threads: partner OBL5) - _step__MIN","num_thread: 10 (threads: partner OBL5) - _step__MAX","num_thread: 10 (threads: partner OBL5) - score","num_thread: 10 (threads: partner OBL5) - score__MIN","num_thread: 10 (threads: partner OBL5) - score__MAX","num_thread: 20 (threads: partner OBL5) - _step","num_thread: 20 (threads: partner OBL5) - _step__MIN","num_thread: 20 (threads: partner OBL5) - _step__MAX","num_thread: 20 (threads: partner OBL5) - score","num_thread: 20 (threads: partner OBL5) - score__MIN","num_thread: 20 (threads: partner OBL5) - score__MAX","num_thread: 40 (threads: partner OBL5) - _step","num_thread: 40 (threads: partner OBL5) - _step__MIN","num_thread: 40 (threads: partner OBL5) - _step__MAX","num_thread: 40 (threads: partner OBL5) - score","num_thread: 40 (threads: partner OBL5) - score__MIN","num_thread: 40 (threads: partner OBL5) - score__MAX","num_thread: 80 (threads: partner OBL5) - _step","num_thread: 80 (threads: partner OBL5) - _step__MIN","num_thread: 80 (threads: partner OBL5) - _step__MAX","num_thread: 80 (threads: partner OBL5) - score","num_thread: 80 (threads: partner OBL5) - score__MIN","num_thread: 80 (threads: partner OBL5) - score__MAX","num_thread: 120 (threads: partner OBL5) - _step","num_thread: 120 (threads: partner OBL5) - _step__MIN","num_thread: 120 (threads: partner OBL5) - _step__MAX","num_thread: 120 (threads: partner OBL5) - score","num_thread: 120 (threads: partner OBL5) - score__MIN","num_thread: 120 (threads: partner OBL5) - score__MAX","num_thread: 160 (threads: partner OBL5) - _step","num_thread: 160 (threads: partner OBL5) - _step__MIN","num_thread: 160 (threads: partner OBL5) - _step__MAX","num_thread: 160 (threads: partner OBL5) - score","num_thread: 160 (threads: partner OBL5) - score__MIN","num_thread: 160 (threads: partner OBL5) - score__MAX"
"17897","4","4","4","11.022","11.022","11.022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17938","4","4","4","10.878","10.878","10.878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18933","","","","","","","2","2","2","10.882","10.882","10.882","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19037","","","","","","","","","","","","","1","1","1","10.737","10.737","10.737","","","","","","","","","","","","","","","","","","","","","","","",""
"19178","","","","","","","2","2","2","10.743","10.743","10.743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19280","","","","","","","2","2","2","10.903","10.903","10.903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19288","","","","","","","2","2","2","11.021","11.021","11.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19309","","","","","","","","","","","","","1","1","1","10.862","10.862","10.862","","","","","","","","","","","","","","","","","","","","","","","",""
"19325","","","","","","","","","","","","","1","1","1","10.755","10.755","10.755","","","","","","","","","","","","","","","","","","","","","","","",""
"19334","","","","","","","","","","","","","1","1","1","10.522","10.522","10.522","","","","","","","","","","","","","","","","","","","","","","","",""
"19362","","","","","","","2","2","2","11.185","11.185","11.185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19460","","","","","","","","","","","","","1","1","1","10.357","10.357","10.357","","","","","","","","","","","","","","","","","","","","","","","",""
"19523","","","","","","","","","","","","","1","1","1","10.583","10.583","10.583","","","","","","","","","","","","","","","","","","","","","","","",""
"19574","5","5","5","11.429","11.429","11.429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19604","","","","","","","","","","","","","1","1","1","10.881","10.881","10.881","","","","","","","","","","","","","","","","","","","","","","","",""
"19737","","","","","","","","","","","","","1","1","1","10.776","10.776","10.776","","","","","","","","","","","","","","","","","","","","","","","",""
"19899","5","5","5","11.003","11.003","11.003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19946","5","5","5","11.284","11.284","11.284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21486","6","6","6","11.582","11.582","11.582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21868","6","6","6","11.091","11.091","11.091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21996","6","6","6","11.338","11.338","11.338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23395","7","7","7","11.575","11.575","11.575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23496","","","","","","","3","3","3","11.751","11.751","11.751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23846","","","","","","","3","3","3","12.022","12.022","12.022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23892","7","7","7","11.654","11.654","11.654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23901","","","","","","","3","3","3","11.516","11.516","11.516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23933","","","","","","","3","3","3","11.315","11.315","11.315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23991","7","7","7","11.614","11.614","11.614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24096","","","","","","","3","3","3","11.426","11.426","11.426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25337","8","8","8","11.511","11.511","11.511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25917","8","8","8","11.512","11.512","11.512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26064","8","8","8","11.397","11.397","11.397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27322","9","9","9","11.824","11.824","11.824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27742","","","","","","","","","","","","","2","2","2","11.21","11.21","11.21","","","","","","","","","","","","","","","","","","","","","","","",""
"27924","9","9","9","11.138","11.138","11.138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27930","","","","","","","","","","","","","","","","","","","1","1","1","10.535","10.535","10.535","","","","","","","","","","","","","","","","","",""
"28088","9","9","9","11.82","11.82","11.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28270","","","","","","","4","4","4","11.444","11.444","11.444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28487","","","","","","","","","","","","","2","2","2","11.465","11.465","11.465","","","","","","","","","","","","","","","","","","","","","","","",""
"28576","","","","","","","4","4","4","12.032","12.032","12.032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28606","","","","","","","","","","","","","2","2","2","11.264","11.264","11.264","","","","","","","","","","","","","","","","","","","","","","","",""
"28657","","","","","","","4","4","4","11.763","11.763","11.763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28669","","","","","","","4","4","4","11.916","11.916","11.916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28678","","","","","","","","","","","","","2","2","2","11.222","11.222","11.222","","","","","","","","","","","","","","","","","","","","","","","",""
"28853","","","","","","","4","4","4","11.802","11.802","11.802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28863","","","","","","","","","","","","","2","2","2","11.33","11.33","11.33","","","","","","","","","","","","","","","","","","","","","","","",""
"29009","","","","","","","","","","","","","2","2","2","11.319","11.319","11.319","","","","","","","","","","","","","","","","","","","","","","","",""
"29143","","","","","","","","","","","","","2","2","2","11.277","11.277","11.277","","","","","","","","","","","","","","","","","","","","","","","",""
"29248","10","10","10","11.894","11.894","11.894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29333","","","","","","","","","","","","","2","2","2","11.264","11.264","11.264","","","","","","","","","","","","","","","","","","","","","","","",""
"29873","","","","","","","","","","","","","","","","","","","1","1","1","10.898","10.898","10.898","","","","","","","","","","","","","","","","","",""
"29965","10","10","10","11.645","11.645","11.645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29982","","","","","","","","","","","","","","","","","","","1","1","1","10.805","10.805","10.805","","","","","","","","","","","","","","","","","",""
"30141","10","10","10","11.979","11.979","11.979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31223","11","11","11","12.09","12.09","12.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31960","11","11","11","11.942","11.942","11.942","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32141","11","11","11","12.226","12.226","12.226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","10.745","10.745","10.745","","","","","",""
"32392","","","","","","","","","","","","","","","","","","","1","1","1","10.803","10.803","10.803","","","","","","","","","","","","","","","","","",""
"32751","","","","","","","5","5","5","11.727","11.727","11.727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33159","12","12","12","11.624","11.624","11.624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33252","","","","","","","5","5","5","11.455","11.455","11.455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33374","","","","","","","5","5","5","11.892","11.892","11.892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33471","","","","","","","5","5","5","11.916","11.916","11.916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33535","","","","","","","5","5","5","11.792","11.792","11.792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33956","12","12","12","12.191","12.191","12.191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34128","12","12","12","12.174","12.174","12.174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","10.583","10.583","10.583","","","","","",""
"34553","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.259","11.259","11.259","","","","","","","","","","","",""
"35092","13","13","13","12.118","12.118","12.118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35970","13","13","13","11.91","11.91","11.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36157","13","13","13","12.385","12.385","12.385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37045","","","","","","","","","","","","","3","3","3","11.721","11.721","11.721","","","","","","","","","","","","","","","","","","","","","","","",""
"37050","14","14","14","12.571","12.571","12.571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37291","","","","","","","6","6","6","11.854","11.854","11.854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37835","","","","","","","6","6","6","11.739","11.739","11.739","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37969","14","14","14","12.115","12.115","12.115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38082","","","","","","","","","","","","","3","3","3","11.923","11.923","11.923","","","","","","","","","","","","","","","","","","","","","","","",""
"38092","","","","","","","6","6","6","12.335","12.335","12.335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38118","","","","","","","","","","","","","3","3","3","12.004","12.004","12.004","","","","","","","","","","","","","","","","","","","","","","","",""
"38133","","","","","","","6","6","6","11.73","11.73","11.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38176","14","14","14","12.475","12.475","12.475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38268","","","","","","","6","6","6","12.171","12.171","12.171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38359","","","","","","","","","","","","","3","3","3","11.766","11.766","11.766","","","","","","","","","","","","","","","","","","","","","","","",""
"38605","","","","","","","","","","","","","3","3","3","11.88","11.88","11.88","","","","","","","","","","","","","","","","","","","","","","","",""
"38667","","","","","","","","","","","","","3","3","3","12.214","12.214","12.214","","","","","","","","","","","","","","","","","","","","","","","",""
"38879","","","","","","","","","","","","","3","3","3","11.845","11.845","11.845","","","","","","","","","","","","","","","","","","","","","","","",""
"38936","","","","","","","","","","","","","3","3","3","11.978","11.978","11.978","","","","","","","","","","","","","","","","","","","","","","","",""
"39015","15","15","15","12.366","12.366","12.366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39959","15","15","15","12.087","12.087","12.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40239","15","15","15","12.19","12.19","12.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40349","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.164","11.164","11.164","","","","","","","","","","","",""
"40924","16","16","16","12.225","12.225","12.225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41751","","","","","","","7","7","7","12.55","12.55","12.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41957","16","16","16","11.663","11.663","11.663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42272","16","16","16","12.381","12.381","12.381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42448","","","","","","","7","7","7","12.3","12.3","12.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42776","","","","","","","7","7","7","12.423","12.423","12.423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42867","17","17","17","12.197","12.197","12.197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42920","","","","","","","7","7","7","12.338","12.338","12.338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43171","","","","","","","7","7","7","12.208","12.208","12.208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43398","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","10.866","10.866","10.866","","","","","","","","","","","",""
"43681","","","","","","","","","","","","","","","","","","","2","2","2","11.417","11.417","11.417","","","","","","","","","","","","","","","","","",""
"43921","17","17","17","12.414","12.414","12.414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44374","17","17","17","12.643","12.643","12.643","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44814","18","18","18","12.177","12.177","12.177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.006","11.006","11.006","","","","","",""
"45946","18","18","18","11.981","11.981","11.981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46392","18","18","18","12.431","12.431","12.431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46469","","","","","","","8","8","8","11.785","11.785","11.785","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46491","","","","","","","","","","","","","4","4","4","12.094","12.094","12.094","","","","","","","","","","","","","","","","","","","","","","","",""
"46785","19","19","19","12.451","12.451","12.451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47001","","","","","","","8","8","8","12.316","12.316","12.316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47612","","","","","","","8","8","8","12.49","12.49","12.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47758","","","","","","","8","8","8","12.284","12.284","12.284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47847","","","","","","","","","","","","","4","4","4","12.21","12.21","12.21","","","","","","","","","","","","","","","","","","","","","","","",""
"47863","","","","","","","","","","","","","","","","","","","2","2","2","11.466","11.466","11.466","","","","","","","","","","","","","","","","","",""
"47912","","","","","","","","","","","","","4","4","4","11.768","11.768","11.768","","","","","","","","","","","","","","","","","","","","","","","",""
"47937","19","19","19","12.326","12.326","12.326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47991","","","","","","","8","8","8","12.936","12.936","12.936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48050","","","","","","","","","","","","","4","4","4","12.257","12.257","12.257","","","","","","","","","","","","","","","","","","","","","","","",""
"48288","","","","","","","","","","","","","4","4","4","11.938","11.938","11.938","","","","","","","","","","","","","","","","","","","","","","","",""
"48409","19","19","19","12.708","12.708","12.708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48521","","","","","","","","","","","","","4","4","4","12.232","12.232","12.232","","","","","","","","","","","","","","","","","","","","","","","",""
"48606","","","","","","","","","","","","","4","4","4","12.38","12.38","12.38","","","","","","","","","","","","","","","","","","","","","","","",""
"48709","20","20","20","12.484","12.484","12.484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48774","","","","","","","","","","","","","4","4","4","12.306","12.306","12.306","","","","","","","","","","","","","","","","","","","","","","","",""
"49894","20","20","20","12.239","12.239","12.239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50442","20","20","20","12.927","12.927","12.927","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50607","21","21","21","12.66","12.66","12.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.218","11.218","11.218"
"51117","","","","","","","9","9","9","12.644","12.644","12.644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51718","","","","","","","9","9","9","12.784","12.784","12.784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51934","21","21","21","12.803","12.803","12.803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52371","","","","","","","9","9","9","12.55","12.55","12.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52431","21","21","21","12.399","12.399","12.399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52554","22","22","22","12.79","12.79","12.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52570","","","","","","","9","9","9","12.411","12.411","12.411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52731","","","","","","","9","9","9","12.31","12.31","12.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52744","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","10.966","10.966","10.966","","","","","","","","","","","",""
"53948","22","22","22","12.943","12.943","12.943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54423","22","22","22","13.14","13.14","13.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54517","23","23","23","12.616","12.616","12.616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55013","","","","","","","","","","","","","","","","","","","2","2","2","11.135","11.135","11.135","","","","","","","","","","","","","","","","","",""
"55729","","","","","","","10","10","10","12.425","12.425","12.425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55959","23","23","23","12.66","12.66","12.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56065","","","","","","","","","","","","","","","","","","","1","1","1","11.117","11.117","11.117","","","","","","","","","","","","","","","","","",""
"56197","","","","","","","","","","","","","5","5","5","12.456","12.456","12.456","","","","","","","","","","","","","","","","","","","","","","","",""
"56431","","","","","","","10","10","10","13.107","13.107","13.107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56451","24","24","24","12.749","12.749","12.749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56505","23","23","23","13.216","13.216","13.216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.271","11.271","11.271"
"57126","","","","","","","10","10","10","12.969","12.969","12.969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57266","","","","","","","","","","","","","","","","","","","2","2","2","11.667","11.667","11.667","","","","","","","","","","","","","","","","","",""
"57376","","","","","","","10","10","10","12.942","12.942","12.942","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57527","","","","","","","10","10","10","12.341","12.341","12.341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57719","","","","","","","","","","","","","5","5","5","12.197","12.197","12.197","","","","","","","","","","","","","","","","","","","","","","","",""
"57768","","","","","","","","","","","","","5","5","5","12.545","12.545","12.545","","","","","","","","","","","","","","","","","","","","","","","",""
"57940","24","24","24","12.871","12.871","12.871","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58039","","","","","","","","","","","","","5","5","5","12.337","12.337","12.337","","","","","","","","","","","","","","","","","","","","","","","",""
"58120","","","","","","","","","","","","","5","5","5","12.546","12.546","12.546","","","","","","","","","","","","","","","","","","","","","","","",""
"58343","","","","","","","","","","","","","5","5","5","12.751","12.751","12.751","","","","","","","","","","","","","","","","","","","","","","","",""
"58402","25","25","25","12.715","12.715","12.715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58522","","","","","","","","","","","","","5","5","5","12.9","12.9","12.9","","","","","","","","","","","","","","","","","","","","","","","",""
"58546","24","24","24","12.791","12.791","12.791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58987","","","","","","","","","","","","","5","5","5","12.608","12.608","12.608","","","","","","","","","","","","","","","","","","","","","","","",""
"59756","","","","","","","","","","","","","","","","","","","3","3","3","12.118","12.118","12.118","","","","","","","","","","","","","","","","","",""
"59949","25","25","25","12.746","12.746","12.746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60261","","","","","","","11","11","11","12.937","12.937","12.937","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60341","26","26","26","13.288","13.288","13.288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60520","25","25","25","13.02","13.02","13.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61206","","","","","","","11","11","11","12.751","12.751","12.751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61281","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","11.982","11.982","11.982","","","","","","","","","","","",""
"61930","26","26","26","12.585","12.585","12.585","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61974","","","","","","","11","11","11","13.346","13.346","13.346","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62134","","","","","","","11","11","11","12.972","12.972","12.972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62258","27","27","27","13.254","13.254","13.254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62374","","","","","","","11","11","11","12.911","12.911","12.911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62521","26","26","26","13.436","13.436","13.436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63892","27","27","27","12.786","12.786","12.786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64204","28","28","28","13.089","13.089","13.089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64518","27","27","27","13.43","13.43","13.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64966","","","","","","","12","12","12","12.6","12.6","12.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
