"num_samples","lr: 0.00000625 (learning rate: partner IQL) - _step","lr: 0.00000625 (learning rate: partner IQL) - _step__MIN","lr: 0.00000625 (learning rate: partner IQL) - _step__MAX","lr: 0.00000625 (learning rate: partner IQL) - perfect","lr: 0.00000625 (learning rate: partner IQL) - perfect__MIN","lr: 0.00000625 (learning rate: partner IQL) - perfect__MAX","lr: 0.00001 (learning rate: partner IQL) - _step","lr: 0.00001 (learning rate: partner IQL) - _step__MIN","lr: 0.00001 (learning rate: partner IQL) - _step__MAX","lr: 0.00001 (learning rate: partner IQL) - perfect","lr: 0.00001 (learning rate: partner IQL) - perfect__MIN","lr: 0.00001 (learning rate: partner IQL) - perfect__MAX","lr: 0.0000625 (learning rate: partner IQL) - _step","lr: 0.0000625 (learning rate: partner IQL) - _step__MIN","lr: 0.0000625 (learning rate: partner IQL) - _step__MAX","lr: 0.0000625 (learning rate: partner IQL) - perfect","lr: 0.0000625 (learning rate: partner IQL) - perfect__MIN","lr: 0.0000625 (learning rate: partner IQL) - perfect__MAX","lr: 0.0001 (learning rate: partner IQL) - _step","lr: 0.0001 (learning rate: partner IQL) - _step__MIN","lr: 0.0001 (learning rate: partner IQL) - _step__MAX","lr: 0.0001 (learning rate: partner IQL) - perfect","lr: 0.0001 (learning rate: partner IQL) - perfect__MIN","lr: 0.0001 (learning rate: partner IQL) - perfect__MAX","lr: 0.000625 (learning rate: partner IQL) - _step","lr: 0.000625 (learning rate: partner IQL) - _step__MIN","lr: 0.000625 (learning rate: partner IQL) - _step__MAX","lr: 0.000625 (learning rate: partner IQL) - perfect","lr: 0.000625 (learning rate: partner IQL) - perfect__MIN","lr: 0.000625 (learning rate: partner IQL) - perfect__MAX","lr: 0.001 (learning rate: partner IQL) - _step","lr: 0.001 (learning rate: partner IQL) - _step__MIN","lr: 0.001 (learning rate: partner IQL) - _step__MAX","lr: 0.001 (learning rate: partner IQL) - perfect","lr: 0.001 (learning rate: partner IQL) - perfect__MIN","lr: 0.001 (learning rate: partner IQL) - perfect__MAX"
"75248","","","","","","","","","","","","","2","2","2","1.3","1.3","1.3","","","","","","","","","","","","","","","","","",""
"78193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"78381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0"
"81193","2","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83468","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","1.2","1.2","1.2","","","","","",""
"85078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"90606","","","","","","","","","","","","","2","2","2","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","",""
"91151","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"91313","","","","","","","1","1","1","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"94532","","","","","","","","","","","","","","","","","","","2","2","2","2.3","2.3","2.3","","","","","","","","","","","",""
"95376","","","","","","","","","","","","","2","2","2","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","","","","","","","",""
"95975","","","","","","","","","","","","","","","","","","","1","1","1","0.5","0.5","0.5","","","","","","","","","","","",""
"97359","3","3","3","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103990","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","",""
"104459","","","","","","","","","","","","","3","3","3","1.3","1.3","1.3","","","","","","","","","","","","","","","","","",""
"106830","3","3","3","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108320","2","2","2","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114600","","","","","","","","","","","","","3","3","3","2","2","2","","","","","","","","","","","","","","","","","",""
"115784","","","","","","","","","","","","","","","","","","","3","3","3","2.8000000000000003","2.8000000000000003","2.8000000000000003","","","","","","","","","","","",""
"119732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","1","1","1"
"121808","4","4","4","0.4","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","1.3","1.3","1.3"
"122603","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","1.5","1.5","1.5","","","","","",""
"122707","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","",""
"126810","","","","","","","","","","","","","","","","","","","2","2","2","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","",""
"128666","","","","","","","2","2","2","0.4","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","",""
"131215","","","","","","","","","","","","","2","2","2","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","",""
"131256","4","4","4","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","2","2","2"
"134731","3","3","3","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144019","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","4.2","4.2","4.2","","","","","",""
"145575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2"
"147947","","","","","","","2","2","2","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","",""
"148544","","","","","","","","","","","","","","","","","","","4","4","4","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","",""
"152232","","","","","","","","","","","","","3","3","3","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","","","","","","","",""
"155985","","","","","","","2","2","2","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"156079","","","","","","","","","","","","","4","4","4","4","4","4","","","","","","","","","","","","","","","","","",""
"161027","","","","","","","","","","","","","4","4","4","3.8","3.8","3.8","","","","","","","","","","","","","","","","","",""
"162523","","","","","","","","","","","","","","","","","","","2","2","2","4.2","4.2","4.2","","","","","","","","","","","",""
"163517","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4.9","4.9","4.9","","","","","",""
"163899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3.3000000000000003","3.3000000000000003","3.3000000000000003"
"167611","","","","","","","","","","","","","","","","","","","3","3","3","4.2","4.2","4.2","","","","","","","","","","","",""
"173293","","","","","","","3","3","3","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","",""
"174080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3.6999999999999997","3.6999999999999997","3.6999999999999997"
"175941","5","5","5","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176717","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","2.6","2.6","2.6","","","","","",""
"178553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5"
"179022","4","4","4","0.7000000000000001","0.7000000000000001","0.7000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"181888","","","","","","","","","","","","","3","3","3","3.5999999999999996","3.5999999999999996","3.5999999999999996","","","","","","","","","","","","","","","","","",""
"184645","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3.5999999999999996","3.5999999999999996","3.5999999999999996","","","","","",""
"185028","5","5","5","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"186765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","5.1","5.1","5.1"
"187116","","","","","","","3","3","3","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"188891","","","","","","","","","","","","","","","","","","","5","5","5","6","6","6","","","","","","","","","","","",""
"194760","","","","","","","","","","","","","","","","","","","3","3","3","5.6000000000000005","5.6000000000000005","5.6000000000000005","","","","","","","","","","","",""
"195063","","","","","","","","","","","","","4","4","4","5.5","5.5","5.5","","","","","","","","","","","","","","","","","",""
"195748","","","","","","","","","","","","","5","5","5","4.1000000000000005","4.1000000000000005","4.1000000000000005","","","","","","","","","","","","","","","","","",""
"197214","","","","","","","","","","","","","5","5","5","4.7","4.7","4.7","","","","","","","","","","","","","","","","","",""
"197915","","","","","","","3","3","3","1.2","1.2","1.2","","","","","","","","","","","","","","","","","","","","","","","",""
"206865","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","7.7","7.7","7.7","","","","","",""
"209112","","","","","","","","","","","","","","","","","","","4","4","4","5.8999999999999995","5.8999999999999995","5.8999999999999995","","","","","","","","","","","",""
"210829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","3.8","3.8","3.8"
"215113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","5.7","5.7","5.7"
"219914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","7.3999999999999995","7.3999999999999995","7.3999999999999995"
"220191","","","","","","","4","4","4","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"221264","6","6","6","1.3","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"222255","","","","","","","4","4","4","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"222822","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","9","9","9","","","","","",""
"223561","5","5","5","2.1","2.1","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224098","","","","","","","","","","","","","4","4","4","5.5","5.5","5.5","","","","","","","","","","","","","","","","","",""
"226701","","","","","","","","","","","","","","","","","","","4","4","4","6.800000000000001","6.800000000000001","6.800000000000001","","","","","","","","","","","",""
"227053","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","3","3","3","","","","","",""
"229769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","3.6999999999999997","3.6999999999999997","3.6999999999999997"
"230594","6","6","6","1.0999999999999999","1.0999999999999999","1.0999999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"231436","","","","","","","","","","","","","6","6","6","7.7","7.7","7.7","","","","","","","","","","","","","","","","","",""
"232321","","","","","","","","","","","","","","","","","","","6","6","6","10.2","10.2","10.2","","","","","","","","","","","",""
"235827","","","","","","","","","","","","","5","5","5","7.3","7.3","7.3","","","","","","","","","","","","","","","","","",""
"237618","","","","","","","","","","","","","6","6","6","6.7","6.7","6.7","","","","","","","","","","","","","","","","","",""
"241703","","","","","","","4","4","4","1.7000000000000002","1.7000000000000002","1.7000000000000002","","","","","","","","","","","","","","","","","","","","","","","",""
"249012","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","9.9","9.9","9.9","","","","","",""
"251278","","","","","","","5","5","5","2.4","2.4","2.4","","","","","","","","","","","","","","","","","","","","","","","",""
"252007","","","","","","","","","","","","","","","","","","","5","5","5","7.5","7.5","7.5","","","","","","","","","","","",""
"255874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5.1","5.1","5.1"
"257608","","","","","","","","","","","","","","","","","","","5","5","5","8.200000000000001","8.200000000000001","8.200000000000001","","","","","","","","","","","",""
"258225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0","0","0"
"264731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7.9","7.9","7.9"
"267528","","","","","","","","","","","","","5","5","5","5.2","5.2","5.2","","","","","","","","","","","","","","","","","",""
"267757","7","7","7","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"269295","6","6","6","1.4000000000000001","1.4000000000000001","1.4000000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"269808","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","12","12","12","","","","","",""
"269930","","","","","","","","","","","","","7","7","7","5.3","5.3","5.3","","","","","","","","","","","","","","","","","",""
"271968","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","12.6","12.6","12.6","","","","","",""
"275746","","","","","","","","","","","","","","","","","","","7","7","7","7.9","7.9","7.9","","","","","","","","","","","",""
"275989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","7.5","7.5","7.5"
"276219","","","","","","","5","5","5","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","",""
"280853","","","","","","","","","","","","","6","6","6","6.2","6.2","6.2","","","","","","","","","","","","","","","","","",""
"281089","","","","","","","","","","","","","7","7","7","7.199999999999999","7.199999999999999","7.199999999999999","","","","","","","","","","","","","","","","","",""
"281404","","","","","","","6","6","6","2.7","2.7","2.7","","","","","","","","","","","","","","","","","","","","","","","",""
"281648","7","7","7","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"286435","","","","","","","","","","","","","","","","","","","6","6","6","9.2","9.2","9.2","","","","","","","","","","","",""
"291060","","","","","","","5","5","5","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","",""
"296248","","","","","","","","","","","","","","","","","","","6","6","6","11.3","11.3","11.3","","","","","","","","","","","",""
"296294","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","11.799999999999999","11.799999999999999","11.799999999999999","","","","","",""
"301032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","10.100000000000001","10.100000000000001","10.100000000000001"
"301812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","5.4","5.4","5.4"
"309523","","","","","","","","","","","","","8","8","8","8.3","8.3","8.3","","","","","","","","","","","","","","","","","",""
"310091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","12.8","12.8","12.8"
"310436","","","","","","","7","7","7","3","3","3","","","","","","","","","","","","","","","","","","","","","","","",""
"312779","","","","","","","","","","","","","6","6","6","8","8","8","","","","","","","","","","","","","","","","","",""
"314563","","","","","","","","","","","","","","","","","","","7","7","7","11.5","11.5","11.5","","","","","","","","","","","",""
"314591","8","8","8","2.3","2.3","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"315198","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","8.9","8.9","8.9","","","","","",""
"317327","7","7","7","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"319584","","","","","","","","","","","","","","","","","","","8","8","8","12.3","12.3","12.3","","","","","","","","","","","",""
"322977","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","2.3","2.3","2.3","","","","","",""
"325356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","11.3","11.3","11.3"
"326263","","","","","","","","","","","","","8","8","8","10.100000000000001","10.100000000000001","10.100000000000001","","","","","","","","","","","","","","","","","",""
"327960","","","","","","","","","","","","","7","7","7","8.3","8.3","8.3","","","","","","","","","","","","","","","","","",""
"329978","","","","","","","6","6","6","3.1","3.1","3.1","","","","","","","","","","","","","","","","","","","","","","","",""
"330478","8","8","8","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"338404","","","","","","","8","8","8","3.6999999999999997","3.6999999999999997","3.6999999999999997","","","","","","","","","","","","","","","","","","","","","","","",""
"339293","","","","","","","6","6","6","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","",""
"340592","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","10.6","10.6","10.6","","","","","",""
"340925","","","","","","","","","","","","","","","","","","","8","8","8","11.600000000000001","11.600000000000001","11.600000000000001","","","","","","","","","","","",""
"342059","","","","","","","","","","","","","","","","","","","7","7","7","8.6","8.6","8.6","","","","","","","","","","","",""
"345474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7.7","7.7","7.7"
"347604","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","4.6","4.6","4.6"
"348355","","","","","","","","","","","","","9","9","9","11","11","11","","","","","","","","","","","","","","","","","",""
"353318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","10.6","10.6","10.6"
"357923","","","","","","","","","","","","","7","7","7","9.9","9.9","9.9","","","","","","","","","","","","","","","","","",""
"358402","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","11.4","11.4","11.4","","","","","",""
"362383","9","9","9","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"363309","","","","","","","","","","","","","","","","","","","9","9","9","12.7","12.7","12.7","","","","","","","","","","","",""
"365127","8","8","8","2.4","2.4","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"365403","","","","","","","9","9","9","4.7","4.7","4.7","","","","","","","","","","","","","","","","","","","","","","","",""
"367727","","","","","","","","","","","","","","","","","","","9","9","9","13.3","13.3","13.3","","","","","","","","","","","",""
"368868","","","","","","","","","","","","","9","9","9","9.9","9.9","9.9","","","","","","","","","","","","","","","","","",""
"372824","","","","","","","","","","","","","8","8","8","10.299999999999999","10.299999999999999","10.299999999999999","","","","","","","","","","","","","","","","","",""
"373847","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","12.5","12.5","12.5","","","","","",""
"374477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","10.2","10.2","10.2"
"382495","9","9","9","2.6","2.6","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"385117","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","13.700000000000001","13.700000000000001","13.700000000000001","","","","","",""
"385719","","","","","","","7","7","7","3.1","3.1","3.1","","","","","","","","","","","","","","","","","","","","","","","",""
"386014","","","","","","","","","","","","","","","","","","","8","8","8","12.2","12.2","12.2","","","","","","","","","","","",""
"388064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","1.7999999999999998","1.7999999999999998","1.7999999999999998"
"388187","","","","","","","7","7","7","3","3","3","","","","","","","","","","","","","","","","","","","","","","","",""
"388936","","","","","","","","","","","","","10","10","10","10.7","10.7","10.7","","","","","","","","","","","","","","","","","",""
"393814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","13.3","13.3","13.3"
"394177","","","","","","","10","10","10","2.9000000000000004","2.9000000000000004","2.9000000000000004","","","","","","","","","","","","","","","","","","","","","","","",""
"394360","","","","","","","","","","","","","","","","","","","10","10","10","13.900000000000002","13.900000000000002","13.900000000000002","","","","","","","","","","","",""
"398761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","12.2","12.2","12.2"
"401027","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","13.700000000000001","13.700000000000001","13.700000000000001","","","","","",""
"404491","","","","","","","","","","","","","8","8","8","10.4","10.4","10.4","","","","","","","","","","","","","","","","","",""
"407169","","","","","","","","","","","","","","","","","","","10","10","10","12.5","12.5","12.5","","","","","","","","","","","",""
"408958","10","10","10","3.4000000000000004","3.4000000000000004","3.4000000000000004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"411790","","","","","","","","","","","","","10","10","10","11","11","11","","","","","","","","","","","","","","","","","",""
"412237","9","9","9","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"417389","","","","","","","","","","","","","9","9","9","11.5","11.5","11.5","","","","","","","","","","","","","","","","","",""
"420769","","","","","","","","","","","","","","","","","","","11","11","11","16.8","16.8","16.8","","","","","","","","","","","",""
"421593","","","","","","","11","11","11","4.7","4.7","4.7","","","","","","","","","","","","","","","","","","","","","","","",""
"424308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","6.5","6.5","6.5"
"424484","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","8.6","8.6","8.6","","","","","",""
"428733","","","","","","","","","","","","","11","11","11","14.2","14.2","14.2","","","","","","","","","","","","","","","","","",""
"430007","","","","","","","","","","","","","","","","","","","9","9","9","12.4","12.4","12.4","","","","","","","","","","","",""
"431908","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","17","17","17","","","","","",""
"432070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9.4","9.4","9.4"
"432767","10","10","10","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"437350","","","","","","","8","8","8","2.1999999999999997","2.1999999999999997","2.1999999999999997","","","","","","","","","","","","","","","","","","","","","","","",""
"438639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","13.100000000000001","13.100000000000001","13.100000000000001"
"440454","","","","","","","8","8","8","3.1","3.1","3.1","","","","","","","","","","","","","","","","","","","","","","","",""
"443425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","7.6","7.6","7.6"
"445361","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","10","10","10","","","","","",""
"447811","","","","","","","","","","","","","9","9","9","12.1","12.1","12.1","","","","","","","","","","","","","","","","","",""
"447996","","","","","","","","","","","","","","","","","","","12","12","12","14.799999999999999","14.799999999999999","14.799999999999999","","","","","","","","","","","",""
"451629","","","","","","","12","12","12","4.6","4.6","4.6","","","","","","","","","","","","","","","","","","","","","","","",""
"452410","","","","","","","","","","","","","","","","","","","11","11","11","12","12","12","","","","","","","","","","","",""
"454459","11","11","11","3.3000000000000003","3.3000000000000003","3.3000000000000003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"457054","","","","","","","","","","","","","11","11","11","13.4","13.4","13.4","","","","","","","","","","","","","","","","","",""
"459172","10","10","10","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"461840","","","","","","","","","","","","","10","10","10","12","12","12","","","","","","","","","","","","","","","","","",""
"469975","","","","","","","","","","","","","12","12","12","13.3","13.3","13.3","","","","","","","","","","","","","","","","","",""
"472558","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","12.2","12.2","12.2","","","","","",""
"473428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","11.3","11.3","11.3"
"474729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","2.9000000000000004","2.9000000000000004","2.9000000000000004"
"475221","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","14.499999999999998","14.499999999999998","14.499999999999998","","","","","",""
"475244","","","","","","","","","","","","","","","","","","","13","13","13","15.5","15.5","15.5","","","","","","","","","","","",""
"475617","","","","","","","","","","","","","","","","","","","10","10","10","13.900000000000002","13.900000000000002","13.900000000000002","","","","","","","","","","","",""
"479390","","","","","","","13","13","13","4.7","4.7","4.7","","","","","","","","","","","","","","","","","","","","","","","",""
"483605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","12.7","12.7","12.7"
"483986","11","11","11","3.2","3.2","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"485050","","","","","","","9","9","9","3.8","3.8","3.8","","","","","","","","","","","","","","","","","","","","","","","",""
"487572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","13.8","13.8","13.8"
"489320","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","15.2","15.2","15.2","","","","","",""
"493366","","","","","","","9","9","9","5.1","5.1","5.1","","","","","","","","","","","","","","","","","","","","","","","",""
"494521","","","","","","","","","","","","","10","10","10","11.700000000000001","11.700000000000001","11.700000000000001","","","","","","","","","","","","","","","","","",""
