"num_samples","lr: 0.00000625 (learning rate: partner IQL) - _step","lr: 0.00000625 (learning rate: partner IQL) - _step__MIN","lr: 0.00000625 (learning rate: partner IQL) - _step__MAX","lr: 0.00000625 (learning rate: partner IQL) - score","lr: 0.00000625 (learning rate: partner IQL) - score__MIN","lr: 0.00000625 (learning rate: partner IQL) - score__MAX","lr: 0.00001 (learning rate: partner IQL) - _step","lr: 0.00001 (learning rate: partner IQL) - _step__MIN","lr: 0.00001 (learning rate: partner IQL) - _step__MAX","lr: 0.00001 (learning rate: partner IQL) - score","lr: 0.00001 (learning rate: partner IQL) - score__MIN","lr: 0.00001 (learning rate: partner IQL) - score__MAX","lr: 0.0000625 (learning rate: partner IQL) - _step","lr: 0.0000625 (learning rate: partner IQL) - _step__MIN","lr: 0.0000625 (learning rate: partner IQL) - _step__MAX","lr: 0.0000625 (learning rate: partner IQL) - score","lr: 0.0000625 (learning rate: partner IQL) - score__MIN","lr: 0.0000625 (learning rate: partner IQL) - score__MAX","lr: 0.0001 (learning rate: partner IQL) - _step","lr: 0.0001 (learning rate: partner IQL) - _step__MIN","lr: 0.0001 (learning rate: partner IQL) - _step__MAX","lr: 0.0001 (learning rate: partner IQL) - score","lr: 0.0001 (learning rate: partner IQL) - score__MIN","lr: 0.0001 (learning rate: partner IQL) - score__MAX","lr: 0.000625 (learning rate: partner IQL) - _step","lr: 0.000625 (learning rate: partner IQL) - _step__MIN","lr: 0.000625 (learning rate: partner IQL) - _step__MAX","lr: 0.000625 (learning rate: partner IQL) - score","lr: 0.000625 (learning rate: partner IQL) - score__MIN","lr: 0.000625 (learning rate: partner IQL) - score__MAX","lr: 0.001 (learning rate: partner IQL) - _step","lr: 0.001 (learning rate: partner IQL) - _step__MIN","lr: 0.001 (learning rate: partner IQL) - _step__MAX","lr: 0.001 (learning rate: partner IQL) - score","lr: 0.001 (learning rate: partner IQL) - score__MIN","lr: 0.001 (learning rate: partner IQL) - score__MAX"
"74263","2","2","2","14.834","14.834","14.834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75248","","","","","","","","","","","","","2","2","2","18.237","18.237","18.237","","","","","","","","","","","","","","","","","",""
"78193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","18.016","18.016","18.016"
"78381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16.811","16.811","16.811"
"81193","2","2","2","15.152","15.152","15.152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83468","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","17.859","17.859","17.859","","","","","",""
"85078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","18.83","18.83","18.83"
"90606","","","","","","","","","","","","","2","2","2","18.755","18.755","18.755","","","","","","","","","","","","","","","","","",""
"91151","","","","","","","1","1","1","14.862","14.862","14.862","","","","","","","","","","","","","","","","","","","","","","","",""
"91313","","","","","","","1","1","1","14.945","14.945","14.945","","","","","","","","","","","","","","","","","","","","","","","",""
"94532","","","","","","","","","","","","","","","","","","","2","2","2","19.389","19.389","19.389","","","","","","","","","","","",""
"95376","","","","","","","","","","","","","2","2","2","18.464","18.464","18.464","","","","","","","","","","","","","","","","","",""
"95975","","","","","","","","","","","","","","","","","","","1","1","1","18.12","18.12","18.12","","","","","","","","","","","",""
"97359","3","3","3","15.883","15.883","15.883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103990","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.764","18.764","18.764","","","","","",""
"104459","","","","","","","","","","","","","3","3","3","19.306","19.306","19.306","","","","","","","","","","","","","","","","","",""
"106830","3","3","3","15.995","15.995","15.995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108320","2","2","2","15.317","15.317","15.317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114600","","","","","","","","","","","","","3","3","3","19.683","19.683","19.683","","","","","","","","","","","","","","","","","",""
"115784","","","","","","","","","","","","","","","","","","","3","3","3","20.185","20.185","20.185","","","","","","","","","","","",""
"119732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.214","18.214","18.214"
"121808","4","4","4","17.153","17.153","17.153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","16.854","16.854","16.854"
"122603","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","20.317","20.317","20.317","","","","","",""
"122707","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.752","19.752","19.752","","","","","",""
"126810","","","","","","","","","","","","","","","","","","","2","2","2","19.345","19.345","19.345","","","","","","","","","","","",""
"128666","","","","","","","2","2","2","15.948","15.948","15.948","","","","","","","","","","","","","","","","","","","","","","","",""
"131215","","","","","","","","","","","","","2","2","2","19.071","19.071","19.071","","","","","","","","","","","","","","","","","",""
"131256","4","4","4","17.548","17.548","17.548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","20.215","20.215","20.215"
"134731","3","3","3","16.359","16.359","16.359","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144019","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","20.04","20.04","20.04","","","","","",""
"145575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","18.255","18.255","18.255"
"147947","","","","","","","2","2","2","16.797","16.797","16.797","","","","","","","","","","","","","","","","","","","","","","","",""
"148544","","","","","","","","","","","","","","","","","","","4","4","4","20.46","20.46","20.46","","","","","","","","","","","",""
"152232","","","","","","","","","","","","","3","3","3","19.972","19.972","19.972","","","","","","","","","","","","","","","","","",""
"155985","","","","","","","2","2","2","16.342","16.342","16.342","","","","","","","","","","","","","","","","","","","","","","","",""
"156079","","","","","","","","","","","","","4","4","4","19.931","19.931","19.931","","","","","","","","","","","","","","","","","",""
"161027","","","","","","","","","","","","","4","4","4","20.425","20.425","20.425","","","","","","","","","","","","","","","","","",""
"162523","","","","","","","","","","","","","","","","","","","2","2","2","19.398","19.398","19.398","","","","","","","","","","","",""
"163517","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","21.13","21.13","21.13","","","","","",""
"163899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","20.697","20.697","20.697"
"167611","","","","","","","","","","","","","","","","","","","3","3","3","20.722","20.722","20.722","","","","","","","","","","","",""
"173293","","","","","","","3","3","3","17.147","17.147","17.147","","","","","","","","","","","","","","","","","","","","","","","",""
"174080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","19.502","19.502","19.502"
"175941","5","5","5","18.138","18.138","18.138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176717","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","20.395","20.395","20.395","","","","","",""
"178553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","20.253","20.253","20.253"
"179022","4","4","4","17.508","17.508","17.508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"181888","","","","","","","","","","","","","3","3","3","20.412","20.412","20.412","","","","","","","","","","","","","","","","","",""
"184645","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","20.309","20.309","20.309","","","","","",""
"185028","5","5","5","18.017","18.017","18.017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"186765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","20.962","20.962","20.962"
"187116","","","","","","","3","3","3","17.679","17.679","17.679","","","","","","","","","","","","","","","","","","","","","","","",""
"188891","","","","","","","","","","","","","","","","","","","5","5","5","21.222","21.222","21.222","","","","","","","","","","","",""
"194760","","","","","","","","","","","","","","","","","","","3","3","3","20.442","20.442","20.442","","","","","","","","","","","",""
"195063","","","","","","","","","","","","","4","4","4","20.629","20.629","20.629","","","","","","","","","","","","","","","","","",""
"195748","","","","","","","","","","","","","5","5","5","20.809","20.809","20.809","","","","","","","","","","","","","","","","","",""
"197214","","","","","","","","","","","","","5","5","5","20.99","20.99","20.99","","","","","","","","","","","","","","","","","",""
"197915","","","","","","","3","3","3","17.725","17.725","17.725","","","","","","","","","","","","","","","","","","","","","","","",""
"206865","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","20.965","20.965","20.965","","","","","",""
"209112","","","","","","","","","","","","","","","","","","","4","4","4","20.843","20.843","20.843","","","","","","","","","","","",""
"210829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","20.264","20.264","20.264"
"215113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","21.078","21.078","21.078"
"219914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","21.064","21.064","21.064"
"220191","","","","","","","4","4","4","18.433","18.433","18.433","","","","","","","","","","","","","","","","","","","","","","","",""
"221264","6","6","6","18.053","18.053","18.053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"222255","","","","","","","4","4","4","18.367","18.367","18.367","","","","","","","","","","","","","","","","","","","","","","","",""
"222822","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","21.559","21.559","21.559","","","","","",""
"223561","5","5","5","18.455","18.455","18.455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224098","","","","","","","","","","","","","4","4","4","20.663","20.663","20.663","","","","","","","","","","","","","","","","","",""
"226701","","","","","","","","","","","","","","","","","","","4","4","4","21.174","21.174","21.174","","","","","","","","","","","",""
"227053","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","19.992","19.992","19.992","","","","","",""
"229769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","18.926","18.926","18.926"
"230594","6","6","6","18.492","18.492","18.492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"231436","","","","","","","","","","","","","6","6","6","21.082","21.082","21.082","","","","","","","","","","","","","","","","","",""
"232321","","","","","","","","","","","","","","","","","","","6","6","6","21.451","21.451","21.451","","","","","","","","","","","",""
"235827","","","","","","","","","","","","","5","5","5","21.257","21.257","21.257","","","","","","","","","","","","","","","","","",""
"237618","","","","","","","","","","","","","6","6","6","21.076","21.076","21.076","","","","","","","","","","","","","","","","","",""
"241703","","","","","","","4","4","4","18.945","18.945","18.945","","","","","","","","","","","","","","","","","","","","","","","",""
"249012","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","21.438","21.438","21.438","","","","","",""
"251278","","","","","","","5","5","5","19.103","19.103","19.103","","","","","","","","","","","","","","","","","","","","","","","",""
"252007","","","","","","","","","","","","","","","","","","","5","5","5","21.167","21.167","21.167","","","","","","","","","","","",""
"255874","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","20.583","20.583","20.583"
"257608","","","","","","","","","","","","","","","","","","","5","5","5","21.353","21.353","21.353","","","","","","","","","","","",""
"258225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","15.342","15.342","15.342"
"264731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","21.341","21.341","21.341"
"267528","","","","","","","","","","","","","5","5","5","20.863","20.863","20.863","","","","","","","","","","","","","","","","","",""
"267757","7","7","7","18.891","18.891","18.891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"269295","6","6","6","18.743","18.743","18.743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"269808","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","22","22","22","","","","","",""
"269930","","","","","","","","","","","","","7","7","7","21.202","21.202","21.202","","","","","","","","","","","","","","","","","",""
"271968","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","21.703","21.703","21.703","","","","","",""
"275746","","","","","","","","","","","","","","","","","","","7","7","7","21.551","21.551","21.551","","","","","","","","","","","",""
"275989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","21.356","21.356","21.356"
"276219","","","","","","","5","5","5","19.362","19.362","19.362","","","","","","","","","","","","","","","","","","","","","","","",""
"280853","","","","","","","","","","","","","6","6","6","21.098","21.098","21.098","","","","","","","","","","","","","","","","","",""
"281089","","","","","","","","","","","","","7","7","7","21.271","21.271","21.271","","","","","","","","","","","","","","","","","",""
"281404","","","","","","","6","6","6","19.267","19.267","19.267","","","","","","","","","","","","","","","","","","","","","","","",""
"281648","7","7","7","18.791","18.791","18.791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"286435","","","","","","","","","","","","","","","","","","","6","6","6","21.275","21.275","21.275","","","","","","","","","","","",""
"291060","","","","","","","5","5","5","19.298","19.298","19.298","","","","","","","","","","","","","","","","","","","","","","","",""
"296248","","","","","","","","","","","","","","","","","","","6","6","6","21.501","21.501","21.501","","","","","","","","","","","",""
"296294","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","21.616","21.616","21.616","","","","","",""
"301032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","21.421","21.421","21.421"
"301812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","18.942","18.942","18.942"
"309523","","","","","","","","","","","","","8","8","8","21.475","21.475","21.475","","","","","","","","","","","","","","","","","",""
"310091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","21.958","21.958","21.958"
"310436","","","","","","","7","7","7","19.761","19.761","19.761","","","","","","","","","","","","","","","","","","","","","","","",""
"312779","","","","","","","","","","","","","6","6","6","21.237","21.237","21.237","","","","","","","","","","","","","","","","","",""
"314563","","","","","","","","","","","","","","","","","","","7","7","7","21.898","21.898","21.898","","","","","","","","","","","",""
"314591","8","8","8","18.69","18.69","18.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"315198","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","21.02","21.02","21.02","","","","","",""
"317327","7","7","7","19.007","19.007","19.007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"319584","","","","","","","","","","","","","","","","","","","8","8","8","21.919","21.919","21.919","","","","","","","","","","","",""
"322977","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","19.693","19.693","19.693","","","","","",""
"325356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","21.916","21.916","21.916"
"326263","","","","","","","","","","","","","8","8","8","21.532","21.532","21.532","","","","","","","","","","","","","","","","","",""
"327960","","","","","","","","","","","","","7","7","7","21.651","21.651","21.651","","","","","","","","","","","","","","","","","",""
"329978","","","","","","","6","6","6","19.571","19.571","19.571","","","","","","","","","","","","","","","","","","","","","","","",""
"330478","8","8","8","18.854","18.854","18.854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"338404","","","","","","","8","8","8","19.922","19.922","19.922","","","","","","","","","","","","","","","","","","","","","","","",""
"339293","","","","","","","6","6","6","19.391","19.391","19.391","","","","","","","","","","","","","","","","","","","","","","","",""
"340592","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","21.735","21.735","21.735","","","","","",""
"340925","","","","","","","","","","","","","","","","","","","8","8","8","21.79","21.79","21.79","","","","","","","","","","","",""
"342059","","","","","","","","","","","","","","","","","","","7","7","7","21.536","21.536","21.536","","","","","","","","","","","",""
"345474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","21.027","21.027","21.027"
"347604","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","18.933","18.933","18.933"
"348355","","","","","","","","","","","","","9","9","9","21.759","21.759","21.759","","","","","","","","","","","","","","","","","",""
"353318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","21.841","21.841","21.841"
"357923","","","","","","","","","","","","","7","7","7","21.459","21.459","21.459","","","","","","","","","","","","","","","","","",""
"358402","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","21.759","21.759","21.759","","","","","",""
"362383","9","9","9","19.858","19.858","19.858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"363309","","","","","","","","","","","","","","","","","","","9","9","9","21.953","21.953","21.953","","","","","","","","","","","",""
"365127","8","8","8","19.134","19.134","19.134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"365403","","","","","","","9","9","9","20.119","20.119","20.119","","","","","","","","","","","","","","","","","","","","","","","",""
"367727","","","","","","","","","","","","","","","","","","","9","9","9","21.99","21.99","21.99","","","","","","","","","","","",""
"368868","","","","","","","","","","","","","9","9","9","21.488","21.488","21.488","","","","","","","","","","","","","","","","","",""
"372824","","","","","","","","","","","","","8","8","8","21.505","21.505","21.505","","","","","","","","","","","","","","","","","",""
"373847","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","21.476","21.476","21.476","","","","","",""
"374477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","21.932","21.932","21.932"
"382495","9","9","9","19.487","19.487","19.487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"385117","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","21.805","21.805","21.805","","","","","",""
"385719","","","","","","","7","7","7","19.826","19.826","19.826","","","","","","","","","","","","","","","","","","","","","","","",""
"386014","","","","","","","","","","","","","","","","","","","8","8","8","21.73","21.73","21.73","","","","","","","","","","","",""
"388064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","19.087","19.087","19.087"
"388187","","","","","","","7","7","7","19.732","19.732","19.732","","","","","","","","","","","","","","","","","","","","","","","",""
"388936","","","","","","","","","","","","","10","10","10","21.946","21.946","21.946","","","","","","","","","","","","","","","","","",""
"393814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","21.921","21.921","21.921"
"394177","","","","","","","10","10","10","20.395","20.395","20.395","","","","","","","","","","","","","","","","","","","","","","","",""
"394360","","","","","","","","","","","","","","","","","","","10","10","10","22.065","22.065","22.065","","","","","","","","","","","",""
"398761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","22.091","22.091","22.091"
"401027","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","21.747","21.747","21.747","","","","","",""
"404491","","","","","","","","","","","","","8","8","8","21.756","21.756","21.756","","","","","","","","","","","","","","","","","",""
"407169","","","","","","","","","","","","","","","","","","","10","10","10","21.988","21.988","21.988","","","","","","","","","","","",""
"408958","10","10","10","19.567","19.567","19.567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"411790","","","","","","","","","","","","","10","10","10","21.749","21.749","21.749","","","","","","","","","","","","","","","","","",""
"412237","9","9","9","19.598","19.598","19.598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"417389","","","","","","","","","","","","","9","9","9","21.736","21.736","21.736","","","","","","","","","","","","","","","","","",""
"420769","","","","","","","","","","","","","","","","","","","11","11","11","22.262","22.262","22.262","","","","","","","","","","","",""
"421593","","","","","","","11","11","11","20.527","20.527","20.527","","","","","","","","","","","","","","","","","","","","","","","",""
"424308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","20.406","20.406","20.406"
"424484","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","21.09","21.09","21.09","","","","","",""
"428733","","","","","","","","","","","","","11","11","11","22.096","22.096","22.096","","","","","","","","","","","","","","","","","",""
"430007","","","","","","","","","","","","","","","","","","","9","9","9","21.837","21.837","21.837","","","","","","","","","","","",""
"431908","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","21.871","21.871","21.871","","","","","",""
"432070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","21.357","21.357","21.357"
"432767","10","10","10","19.624","19.624","19.624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"437350","","","","","","","8","8","8","19.956","19.956","19.956","","","","","","","","","","","","","","","","","","","","","","","",""
"438639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","21.86","21.86","21.86"
"440454","","","","","","","8","8","8","19.73","19.73","19.73","","","","","","","","","","","","","","","","","","","","","","","",""
"443425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","20.305","20.305","20.305"
"445361","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","21.637","21.637","21.637","","","","","",""
"447811","","","","","","","","","","","","","9","9","9","21.734","21.734","21.734","","","","","","","","","","","","","","","","","",""
"447996","","","","","","","","","","","","","","","","","","","12","12","12","22.17","22.17","22.17","","","","","","","","","","","",""
"451629","","","","","","","12","12","12","20.714","20.714","20.714","","","","","","","","","","","","","","","","","","","","","","","",""
"452410","","","","","","","","","","","","","","","","","","","11","11","11","22.075","22.075","22.075","","","","","","","","","","","",""
"454459","11","11","11","19.899","19.899","19.899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"457054","","","","","","","","","","","","","11","11","11","21.893","21.893","21.893","","","","","","","","","","","","","","","","","",""
"459172","10","10","10","19.575","19.575","19.575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"461840","","","","","","","","","","","","","10","10","10","21.916","21.916","21.916","","","","","","","","","","","","","","","","","",""
"469975","","","","","","","","","","","","","12","12","12","21.944","21.944","21.944","","","","","","","","","","","","","","","","","",""
"472558","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","21.837","21.837","21.837","","","","","",""
"473428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","22.009","22.009","22.009"
"474729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","20.486","20.486","20.486"
"475221","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","21.905","21.905","21.905","","","","","",""
"475244","","","","","","","","","","","","","","","","","","","13","13","13","22.328","22.328","22.328","","","","","","","","","","","",""
"475617","","","","","","","","","","","","","","","","","","","10","10","10","22.2","22.2","22.2","","","","","","","","","","","",""
"479390","","","","","","","13","13","13","20.761","20.761","20.761","","","","","","","","","","","","","","","","","","","","","","","",""
"483605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","21.839","21.839","21.839"
"483986","11","11","11","19.643","19.643","19.643","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"485050","","","","","","","9","9","9","20.099","20.099","20.099","","","","","","","","","","","","","","","","","","","","","","","",""
"487572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","22.037","22.037","22.037"
"489320","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","22.105","22.105","22.105","","","","","",""
"493366","","","","","","","9","9","9","20.283","20.283","20.283","","","","","","","","","","","","","","","","","","","","","","","",""
"494521","","","","","","","","","","","","","10","10","10","21.832","21.832","21.832","","","","","","","","","","","","","","","","","",""
"495538","","","","","","","","","","","","","","","","","","","12","12","12","21.952","21.952","21.952","","","","","","","","","","","",""
"500653","12","12","12","20.035","20.035","20.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"500697","","","","","","","","","","","","","","","","","","","14","14","14","22.417","22.417","22.417","","","","","","","","","","","",""
"502575","","","","","","","","","","","","","12","12","12","21.939","21.939","21.939","","","","","","","","","","","","","","","","","",""
"505043","","","","","","","14","14","14","20.872","20.872","20.872","","","","","","","","","","","","","","","","","","","","","","","",""
"506083","","","","","","","","","","","","","11","11","11","22.155","22.155","22.155","","","","","","","","","","","","","","","","","",""
"507008","11","11","11","19.902","19.902","19.902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"511006","","","","","","","","","","","","","13","13","13","22.147","22.147","22.147","","","","","","","","","","","","","","","","","",""
"517735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","20.195","20.195","20.195"
"519411","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","22.461","22.461","22.461","","","","","",""
"520677","","","","","","","","","","","","","","","","","","","11","11","11","22.262","22.262","22.262","","","","","","","","","","","",""
"523308","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","22.001","22.001","22.001","","","","","",""
